问题,回答,所属分类
C++ 基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. C和C++有什么区别？
1. C和C++有什么区别？
2. a和&a有什么区别？
2. a和&a有什么区别？
3. static关键字有什么作用？
3. static关键字有什么作用？
4. #define和const有什么区别？
4. #define和const有什么区别？
5. 静态链接和动态链接有什么区别？
5. 静态链接和动态链接有什么区别？
6. 变量的声明和定义有什么区别
6. 变量的声明和定义有什么区别
7. 简述#ifdef、#else、#endif和#ifndef的作用
7. 简述#ifdef、#else、#endif和#ifndef的作用
8. 写出int 、bool、 float 、指针变量与 “零值”比较的if 语句
8. 写出int 、bool、 float 、指针变量与 “零值”比较的if 语句
9. 结构体可以直接赋值吗
9. 结构体可以直接赋值吗
10. sizeof 和strlen 的区别
10. sizeof 和strlen 的区别
11. C 语言的关键字 static 和 C++ 的关键字 static 有什么区别
11. C 语言的关键字 static 和 C++ 的关键字 static 有什么区别
12. volatile有什么作用
12. volatile有什么作用
13. 一个参数可以既是const又是volatile吗
13. 一个参数可以既是const又是volatile吗
14. 全局变量和局部变量有什么区别？操作系统和编译器是怎么知道的？
14. 全局变量和局部变量有什么区别？操作系统和编译器是怎么知道的？
15. 简述strcpy、sprintf 与memcpy 的区别
15. 简述strcpy、sprintf 与memcpy 的区别
16. 对于一个频繁使用的短小函数，应该使用什么来实现？有什么优缺点？
16. 对于一个频繁使用的短小函数，应该使用什么来实现？有什么优缺点？
17. 什么是智能指针？智能指针有什么作用？分为哪几种？各自有什么样的特点？
17. 什么是智能指针？智能指针有什么作用？分为哪几种？各自有什么样的特点？
18. shared_ptr是如何实现的？
18. shared_ptr是如何实现的？
19. 右值引用有什么作用？
19. 右值引用有什么作用？
20. 悬挂指针与野指针有什么区别？
20. 悬挂指针与野指针有什么区别？
21. 动态多态有什么作用？有哪些必要条件？
21. 动态多态有什么作用？有哪些必要条件？
22. 请解析((void ()( ) )0)( )的含义
22. 请解析((void ()( ) )0)( )的含义
23. C语言的指针和引用和c++的有什么区别？
23. C语言的指针和引用和c++的有什么区别？
24. typedef 和define 有什么区别
24. typedef 和define 有什么区别
25. 指针常量与常量指针区别
25. 指针常量与常量指针区别
26. 简述队列和栈的异同
26. 简述队列和栈的异同
27. 设置地址为0x67a9 的整型变量的值为0xaa66
27. 设置地址为0x67a9 的整型变量的值为0xaa66
28. C语言的结构体和C++的有什么区别
28. C语言的结构体和C++的有什么区别
29. 简述指针常量与常量指针的区别
29. 简述指针常量与常量指针的区别
30. 如何避免“野指针”
30. 如何避免“野指针”
31. 句柄和指针的区别和联系是什么？
31. 句柄和指针的区别和联系是什么？
32. 说一说extern“C”
32. 说一说extern“C”
33. 对c++中的smart pointer四个智能指针：shared_ptr,unique_ptr,weak_ptr,auto_ptr的理解
33. 对c++中的smart pointer四个智能指针：shared_ptr,unique_ptr,weak_ptr,auto_ptr的理解
C++ 面向对象面试题阅读指南（必看）
C++ 面向对象面试题阅读指南（必看）
 C++ STL面试题阅读指南（必看）
 C++ STL面试题阅读指南（必看）
C++ 内存管理面试题阅读指南（必看
C++ 内存管理面试题阅读指南（必看
C++基础",
C和C++有什么区别？,C++基础,
a和&a有什么区别？,"假设数组int a[10]; int (*p)[10] = &a其中：
C++基础",
static关键字有什么作用？,C++基础,
#define和const有什么区别？,C++基础,
静态链接和动态链接有什么区别？,"优点在于程序在发布时不需要依赖库，可以独立执行，缺点在于程序的体积会相对较大，而且如果静态库更新之后，所有可执行文件需要重新链接；
动态链接是在编译时不直接拷贝执行代码，而是通过记录一系列符号和参数，在程序运行或加载时将这些信息传递给操作系统，操作系统负责将需要的动态库加载到内存中，然后程序在运行到指定代码时，在共享执行内存中寻找已经加载的动态库可执行代码，实现运行时链接；
优点在于多个程序可以共享同一个动态库，节省资源；
缺点在于由于运行时加载，可能影响程序的前期执行性能。
C++基础",
变量的声明和定义有什么区别,"变量的定义为变量分配地址和存储空间， 变量的声明不分配地址。一个变量可以在多个地方声明， 但是只在一个地方定义。加入extern 修饰的是变量的声明，说明此变量将在文件以外或在文件后面部分定义。
说明：很多时候一个变量，只是声明不分配内存空间，直到具体使用时才初始化，分配内存空间， 如外部变量。
C++基础",
简述#ifdef、#else、#endif和#ifndef的作用,"利用#ifdef、#endif将某程序功能模块包括进去，以向特定用户提供该功能。在不需要时用户可轻易将其屏蔽。
在子程序前加上标记，以便于追踪和调试。
应对硬件的限制。由于一些具体应用环境的硬件不一样，限于条件，本地缺乏这种设备，只能绕过硬件，直接写出预期结果。
「注意」：虽然不用条件编译命令而直接用if语句也能达到要求，但那样做目标程序长（因为所有语句都编译），运行时间长（因为在程序运行时间对if语句进行测试）。而采用条件编译，可以减少被编译的语句，从而减少目标程序的长度，减少运行时间。
C++基础",
写出int 、bool、 float 、指针变量与 “零值”比较的if 语句,"首先给个提示：题目中要求的是零值比较，而非与0进行比较，在C++里“零值”的范围可就大了，可以是0， 0.0 ， FALSE或者“空指针”。
下面是答案。
详细解释
int：int 是整型，可以直接和 0 比较。
bool：根据布尔类型的语义，零值为假（记为FALSE），任何非零值都是真（记为TRUE）。TRUE 的值究竟是什么并没有统一的标准。
例如Visual C++ 将TRUE 定义为1，而Visual Basic 则将TRUE 定义为 -1。所以我们不可以将布尔变量直接与TRUE、FALSE 或者1、0 进行比较
float：千万要留意，无论是float 还是double 类型的变量，都有精度限制，都不可以用==”或!=与任何数字比较，应该设法转化成>=或<=`形式。
其中EPSINON 是允许的误差（即精度）
指针：指针变量的零值就是NULL
C++基础",
结构体可以直接赋值吗,"声明时可以直接初始化，同一结构体的不同对象之间也可以直接赋值，但是当结构体中含有指针“成员”时一定要小心。
「注意」：当有多个指针指向同一段内存时，某个指针释放这段内存可能会导致其他指针的非法操作。因此在释放前一定要确保其他指针不再使用这段内存空间。
C++基础",
sizeof 和strlen 的区别,C++基础,
C 语言的关键字 static 和 C++ 的关键字 static 有什么区别,"在 C 中 static 用来修饰局部静态变量和外部静态变量、函数。而 C++中除了上述功能外，还用来定义类的成员变量和函数。即静态成员和静态成员函数。
「注意」：编程时 static 的记忆性，和全局性的特点可以让在不同时期调用的函数进行通信，传递信息，而 C++的静态成员则可以在多个对象实例间进行通信，传递信息。
C++基础",
