问题,回答,所属分类
CSS 基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. css 的渲染层合成是什么 浏览器如何创建新的渲染层
1. css 的渲染层合成是什么 浏览器如何创建新的渲染层
2. css 优先级是怎么计算的
2. css 优先级是怎么计算的
3. css 怎么开启硬件加速(GPU 加速)
3. css 怎么开启硬件加速(GPU 加速)
4. CSS中可继承与不可继承属性有哪些
4. CSS中可继承与不可继承属性有哪些
5. display的属性值及其作用
5. display的属性值及其作用
6. display的block、inline和inline-block的区别
6. display的block、inline和inline-block的区别
7. 隐藏元素的方法有哪些
7. 隐藏元素的方法有哪些
8. link和@import的区别
8. link和@import的区别
9. transition和animation的区别
9. transition和animation的区别
10. display:none与visibility:hidden的区别
10. display:none与visibility:hidden的区别
11. 伪元素和伪类的区别和作用
11. 伪元素和伪类的区别和作用
12. 对requestAnimationframe的理解
12. 对requestAnimationframe的理解
13. 对盒模型的理解
13. 对盒模型的理解
14. 为什么有时候⽤translate来改变位置而不是定位
14. 为什么有时候⽤translate来改变位置而不是定位
15. li 与 li 之间有看不见的空白间隔是什么原因引起的 如何解决
15. li 与 li 之间有看不见的空白间隔是什么原因引起的 如何解决
16. CSS3中有哪些新特性
16. CSS3中有哪些新特性
17. 替换元素的概念及计算规则
17. 替换元素的概念及计算规则
18. 常见的图片格式及使用场景
18. 常见的图片格式及使用场景
19. 对 CSSSprites 的理解
19. 对 CSSSprites 的理解
20. 什么是物理像素，逻辑像素和像素密度，为什么在移动端开发时需要用到@3x, @2x这种图片
20. 什么是物理像素，逻辑像素和像素密度，为什么在移动端开发时需要用到@3x, @2x这种图片
21. 对line-height 的理解及其赋值方式
21. 对line-height 的理解及其赋值方式
22. CSS 优化和提高性能的方法有哪些
22. CSS 优化和提高性能的方法有哪些
23. CSS预处理器/后处理器是什么 为什么要使用它们
23. CSS预处理器/后处理器是什么 为什么要使用它们
24. ::before 和 :after 的双冒号和单冒号有什么区别
24. ::before 和 :after 的双冒号和单冒号有什么区别
25. 单行、多行文本溢出隐藏
25. 单行、多行文本溢出隐藏
26. Sass、Less 是什么 为什么要使用他们
26. Sass、Less 是什么 为什么要使用他们
27. 对媒体查询的理解
27. 对媒体查询的理解
28. 对 CSS 工程化的理解
28. 对 CSS 工程化的理解
29. 如何判断元素是否到达可视区域
29. 如何判断元素是否到达可视区域
30. z-index属性在什么情况下会失效
30. z-index属性在什么情况下会失效
31. 常见的CSS布局单位
31. 常见的CSS布局单位
32. px、em、rem的区别及使用场景
32. px、em、rem的区别及使用场景
33. 两栏布局的实现
33. 两栏布局的实现
34. 如何根据设计稿进行移动端适配
34. 如何根据设计稿进行移动端适配
35. 对Flex布局的理解及其使用场景
35. 对Flex布局的理解及其使用场景
36. 响应式设计的概念及基本原理
36. 响应式设计的概念及基本原理
37. 为什么需要清除浮动 清除浮动的方式
37. 为什么需要清除浮动 清除浮动的方式
38. 使用 clear 属性清除浮动的原理
38. 使用 clear 属性清除浮动的原理
39. 对BFC的理解，如何创建BFC
39. 对BFC的理解，如何创建BFC
40. 什么是margin重叠问题 如何解决
40. 什么是margin重叠问题 如何解决
41. 元素的层叠顺序
41. 元素的层叠顺序
42. display、float、position的关系
42. display、float、position的关系
43. absolute与fixed共同点与不同点
43. absolute与fixed共同点与不同点
44. 对 sticky 定位的理解
44. 对 sticky 定位的理解
45. 设置小于12px的字体
45. 设置小于12px的字体
46. CSS3新增伪类有那些
46. CSS3新增伪类有那些
47. CSS选择器有哪些 哪些属性可以继承
47. CSS选择器有哪些 哪些属性可以继承
48. margin和padding分别适合什么场景使用
48. margin和padding分别适合什么场景使用
49. png、jpg、gif 这些图片格式解释一下，分别什么时候用。有没有了解过webp
49. png、jpg、gif 这些图片格式解释一下，分别什么时候用。有没有了解过webp
50. 列举一些CSS框架
50. 列举一些CSS框架
51. 使用CSS Sprites的好处
51. 使用CSS Sprites的好处
52. overflow属性在CSS中被用于什么
52. overflow属性在CSS中被用于什么
53. CSS的特异性是什么意思
53. CSS的特异性是什么意思
54. 什么是块级格式化上下文（BFC），如何工作
54. 什么是块级格式化上下文（BFC），如何工作
55. 这段CSS代码会产生什么影响 {box-sizing：border-box;}
55. 这段CSS代码会产生什么影响 {box-sizing：border-box;}
56. 相对，固定，绝对和静态定位的元素有什么区别
56. 相对，固定，绝对和静态定位的元素有什么区别
57. 什么是文件分割，何时使用
57. 什么是文件分割，何时使用
58. 介绍一下标准的css的盒子模型 低版本IE的盒子模型有什么不同
58. 介绍一下标准的css的盒子模型 低版本IE的盒子模型有什么不同
59. Render Tree和CSSOM Tree的区别
59. Render Tree和CSSOM Tree的区别
60. 重排与重绘
60. 重排与重绘
61. position 中的 relative 和 absolute 的定位原点是什么
61. position 中的 relative 和 absolute 的定位原点是什么
62. float的使用
62. float的使用
63. flex弹性布局
63. flex弹性布局
64. 常见居中方案
64. 常见居中方案
65. 如何居中p 如何居中一个浮动元素 如何让绝对定位的p居中
65. 如何居中p 如何居中一个浮动元素 如何让绝对定位的p居中
66. absolute的containing block计算方式跟正常流有什么不同
66. absolute的containing block计算方式跟正常流有什么不同
67. 制作一个访问量很高的大型网站，你会如何来管理所有CSS文件,js 与图片
67. 制作一个访问量很高的大型网站，你会如何来管理所有CSS文件,js 与图片
68. 视差滚动效果
68. 视差滚动效果
69. css div 垂直水平居中，并完成 div 高度永远是宽度的一半（宽度可以不指定）
69. css div 垂直水平居中，并完成 div 高度永远是宽度的一半（宽度可以不指定）
70. CSS实现自适应正方形、等宽高比矩形
70. CSS实现自适应正方形、等宽高比矩形
71. IE6 BUG的解决方法
71. IE6 BUG的解决方法
CSS面试题

ㅤ普通",
css 的渲染层合成是什么 浏览器如何创建新的渲染层,"在 DOM 树中每个节点都会对应一个渲染对象（RenderObject），当它们的渲染对象处于相同的坐标空间（z 轴
空间）时，就会形成一个 RenderLayers，也就是渲染层。渲染层将保证页面元素以正确的顺序堆叠，这时候就会
出现层合成（composite），从而正确处理透明元素和重叠元素的显示。对于有位置重叠的元素的页面，这个过
程尤其重要，因为一旦图层的合并顺序出错，将会导致元素显示异常。
浏览器如何创建新的渲染层
CSS面试题

ㅤ普通",
css 优先级是怎么计算的,"CSS面试题

ㅤ普通",
css 怎么开启硬件加速(GPU 加速),"浏览器在处理下面的 css 的时候，会使用 GPU 渲染
opacity
filter
will-change
注意！层爆炸，由于某些原因可能导致产生大量不在预期内的合成层，虽然有浏览器的层压缩机制，但是也有很多无法进行压缩的情况，这就可能出现层爆炸的现象（简单理解就是，很多不需要提升为合成层的元素因为某些不当操作成为了合成层）。解决层爆炸的问题，最佳方案是打破 overlap 的条件，也就是说让其他元素不要和合成层元素重叠。简单直接的方式：使用 3D 硬件加速提升动画性能时，最好给元素增加一个 z-index 属性，人为干扰合成的排序，可以有效减少创建不必要的合成层，提升渲染性能，移动端优化效果尤为明显。

CSS面试题

ㅤ普通",
CSS中可继承与不可继承属性有哪些,"一、无继承性的属性
二、有继承性的属性
CSS面试题

ㅤ普通",
display的属性值及其作用,"CSS面试题

ㅤ普通",
display的block、inline和inline-block的区别,"（1）block： 会独占一行，多个元素会另起一行，可以设置width、height、margin和padding属性；
（2）inline： 元素不会独占一行，设置width、height属性无效。但可以设置水平方向的margin和padding属
性，不能设置垂直方向的padding和margin；
（3）inline-block： 将对象设置为inline对象，但对象的内容作为block对象呈现，之后的内联对象会被排列在同
一行内。
对于行内元素和块级元素，其特点如下：
（1）行内元素
（2）块级元素
CSS面试题

ㅤ普通",
隐藏元素的方法有哪些,"CSS面试题

ㅤ普通",
link和@import的区别,"两者都是外部引用CSS的方式，它们的区别如下：
CSS面试题

ㅤ普通",
transition和animation的区别,"CSS面试题

ㅤ普通",
