问题,回答,所属分类
HTML 基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. src和href的区别
1. src和href的区别
2. 对HTML语义化的理解
2. 对HTML语义化的理解
3. DOCTYPE(文档类型) 的作用
3. DOCTYPE(文档类型) 的作用
4. script标签中defer和async的区别
4. script标签中defer和async的区别
5. 常用的meta标签有哪些
5. 常用的meta标签有哪些
6. img的srcset属性的作用
6. img的srcset属性的作用
7. 行内元素有哪些 块级元素有哪些 空(void)元素有哪些
7. 行内元素有哪些 块级元素有哪些 空(void)元素有哪些
8. 说一下 web worker
8. 说一下 web worker
9. 浏览器是如何对 HTML5 的离线储存资源进行管理和加载
9. 浏览器是如何对 HTML5 的离线储存资源进行管理和加载
10. iframe 有那些优点和缺点
10. iframe 有那些优点和缺点
11. Canvas和SVG的区别
11. Canvas和SVG的区别
12. 文档声明（Doctype）和!Doctype html有何作用 严格模式与混杂模式如何区分它们有何意义
12. 文档声明（Doctype）和!Doctype html有何作用 严格模式与混杂模式如何区分它们有何意义
13. 浏览器乱码的原因是什么 如何解决
13. 浏览器乱码的原因是什么 如何解决
14. 渐进增强和优雅降级之间的区别
14. 渐进增强和优雅降级之间的区别
15. 说一下 HTML5 drag API
15. 说一下 HTML5 drag API
16. HTML5有哪些新特性，移除了哪些元素 如何处理HTML5新标签的浏览器兼容问题 如何区分HTML和HTML5
16. HTML5有哪些新特性，移除了哪些元素 如何处理HTML5新标签的浏览器兼容问题 如何区分HTML和HTML5
17. 清楚浮动有哪些方式 比较好的方式是哪一种
17. 清楚浮动有哪些方式 比较好的方式是哪一种
18. 实现布局中间自适应宽度，左右两栏固定宽度
18. 实现布局中间自适应宽度，左右两栏固定宽度
19. 写出几种IE6 BUG的解决方法
19. 写出几种IE6 BUG的解决方法
20. meta viewport 是做什么用的，怎么写
20. meta viewport 是做什么用的，怎么写
21. script标签为什么要放在body标签的底部
21. script标签为什么要放在body标签的底部
22. HTML5元素分类
22. HTML5元素分类
23. SVG 与 HTML5 的 canvas 各有什么优点，哪个更有前途
23. SVG 与 HTML5 的 canvas 各有什么优点，哪个更有前途
24. 标准模式和混杂模式的区别
24. 标准模式和混杂模式的区别
25. 标准模式和严格模式的区别
25. 标准模式和严格模式的区别
26. Quirks模式是什么 它和Standards模式有什么区别
26. Quirks模式是什么 它和Standards模式有什么区别
27. 你能描述一下渐进增强和优雅降级之间的不同吗
27. 你能描述一下渐进增强和优雅降级之间的不同吗
28. 简述一下src与href的区别
28. 简述一下src与href的区别
29. 一个页面上有大量的图片（大型电商网站），加载很慢，你有哪些方法优化这些图片的加载，给用户更好的体验
29. 一个页面上有大量的图片（大型电商网站），加载很慢，你有哪些方法优化这些图片的加载，给用户更好的体验
30. 谈谈以前端角度出发做好SEO需要考虑什么
30. 谈谈以前端角度出发做好SEO需要考虑什么
31. 清除浮动的几种方法
31. 清除浮动的几种方法
32. 写HTML代码时应注意什么
32. 写HTML代码时应注意什么
33. HTML5的form如何关闭自动完成功能？
33. HTML5的form如何关闭自动完成功能？
34. 如何实现浏览器内多个标签页之间的通信
34. 如何实现浏览器内多个标签页之间的通信
35. XML和JSON的区别
35. XML和JSON的区别
36. 如何进行网站性能优化
36. 如何进行网站性能优化
37. HTML和XHTML的区别是什么
37. HTML和XHTML的区别是什么
38. 如果网页内容需要支持多语言，你会怎么做
38. 如果网页内容需要支持多语言，你会怎么做
39. 如果把 HTML5 看作做一个开放平台，那它的构建模块有哪些
39. 如果把 HTML5 看作做一个开放平台，那它的构建模块有哪些
40. 如果页面使用 ‘application/xhtml+xml’ 会有什么问题吗
40. 如果页面使用 ‘application/xhtml+xml’ 会有什么问题吗
41. 请解释下什么是语义化的HTML
41. 请解释下什么是语义化的HTML
42. 对于 WEB 标准以及 W3C 的理解与认识问题
42. 对于 WEB 标准以及 W3C 的理解与认识问题
43. 前端页面有哪三层构成，分别是什么 作用是什么
43. 前端页面有哪三层构成，分别是什么 作用是什么
44. 页面可见性（Page Visibility）API 可以有哪些用途
44. 页面可见性（Page Visibility）API 可以有哪些用途
45. Quirks(怪癖）模式是什么 它和 Standards（标准）模式有什么区别
45. Quirks(怪癖）模式是什么 它和 Standards（标准）模式有什么区别
46. div+css 的布局较 table 布局有什么优点
46. div+css 的布局较 table 布局有什么优点
47. html 常见兼容性问题
47. html 常见兼容性问题
48. 如何在页面上实现一个圆形的可点击区域
48. 如何在页面上实现一个圆形的可点击区域
49. HTML 全局属性(global attribute)有哪些
49. HTML 全局属性(global attribute)有哪些
50. meta viewport 原理是什么
50. meta viewport 原理是什么
51. Viewport 属性值
51. Viewport 属性值
52. 页面导入样式时，使用link和@import有什么区别
52. 页面导入样式时，使用link和@import有什么区别
53. label的作用是什么 是怎么用的
53. label的作用是什么 是怎么用的
54. js放在html的不同位置有什么区别吗
54. js放在html的不同位置有什么区别吗
55. 移动html5开发流行的框架有哪些
55. 移动html5开发流行的框架有哪些
56. HTML5 中如何嵌入视频
56. HTML5 中如何嵌入视频
57. Typeof的作用
57. Typeof的作用
HTML面试题

ㅤ普通",
src和href的区别,"src和href都是用来引用外部的资源，它们的区别如下：
src： 表示对资源的引用，它指向的内容会嵌入到当前标签所在的位置。src会将其指向的资源下载并应⽤到⽂档内，如请求js脚本。当浏览器解析到该元素时，会暂停其他资源的下载和处理，直到将该资源加载、编译、执⾏完毕，所以⼀般js脚本会放在页面底部。
href： 表示超文本引用，它指向一些网络资源，建立和当前元素或本文档的链接关系。当浏览器识别到它他指向的⽂件时，就会并行下载资源，不会停⽌对当前⽂档的处理。 常用在a、link等标签上。
HTML面试题

ㅤ普通",
对HTML语义化的理解,"语义化是指根据内容的结构化（内容语义化），选择合适的标签（代码语义化）。通俗来讲就是用正确的标签做正确的事情。
语义化的优点如下：
对机器友好，带有语义的文字表现力丰富，更适合搜索引擎的爬虫爬取有效信息，有利于SEO。除此之外，语义类还支持读屏软件，根据文章可以自动生成目录；
对开发者友好，使用语义类标签增强了可读性，结构更加清晰，开发者能清晰的看出网页的结构，便于团队的开发与维护。
HTML面试题

ㅤ普通",
DOCTYPE(文档类型) 的作用,"DOCTYPE是HTML5中一种标准通用标记语言的文档类型声明，它的目的是告诉浏览器（解析器）应该以什么样（html或xhtml）的文档类型定义来解析文档，不同的渲染模式会影响浏览器对 CSS 代码甚⾄ JavaScript 脚本的解析。它必须声明在HTML文档的第一行。浏览器渲染页面的两种模式（可通过document.compatMode获
取，比如，语雀官网的文档类型是CSS1Compat）：
CSS1Compat：标准模式（Strick mode），默认模式，浏览器使用W3C的标准解析渲染页面。在标准模式中，浏览器以其支持的最高标准呈现页面。
BackCompat：怪异模式(混杂模式)(Quick mode)，浏览器使用自己的怪异模式解析渲染页面。在怪异模式中，页面以一种比较宽松的向后兼容的方式显示。
HTML面试题

ㅤ普通",
script标签中defer和async的区别,"如果没有defer或async属性，浏览器会立即加载并执行相应的脚本。它不会等待后续加载的文档元素，读取到就会开始加载和执行，这样就阻塞了后续文档的加载。
下图可以直观的看出三者之间的区别:

其中蓝色代表js脚本网络加载时间，红色代表js脚本执行时间，绿色代表html解析。
defer 和 async属性都是去异步加载外部的JS脚本文件，它们都不会阻塞页面的解析，其区别如下：
脚本是否并行执行：async属性，表示后续文档的加载和执行与js脚本的加载和执行是并行进行的，即异步执
行；defer属性，加载后续文档的过程和js脚本的加载(此时仅加载不执行)是并行进行的(异步)，js脚本需要等到文档所有元素解析完成之后才执行，DOMContentLoaded事件触发执行之前。
HTML面试题

ㅤ普通",
常用的meta标签有哪些,"meta 标签由 name 和 content 属性定义，用来描述网页文档的属性，比如网页的作者，网页描述，关键词等，除了HTTP标准固定了一些name作为大家使用的共识，开发者还可以自定义name。
常用的meta标签： （1）charset，用来描述HTML文档的编码类型：
（2） keywords，页面关键词：
（3）description，页面描述：
（4）refresh，页面重定向和刷新：
（5）viewport，适配移动端，可以控制视口的大小和比例：
其中，content 参数有以下几种：
（6）搜索引擎索引方式：
其中，content 参数有以下几种：
HTML面试题

ㅤ普通",
img的srcset属性的作用,"响应式页面中经常用到根据屏幕密度设置不同的图片。这时就用到了 img 标签的srcset属性。srcset属性用于设置不同屏幕密度下，img 会自动加载不同的图片。用法如下：
使用上面的代码，就能实现在屏幕密度为1x的情况下加载image-128.png, 屏幕密度为2x时加载image-256.png。
按照上面的实现，不同的屏幕密度都要设置图片地址，目前的屏幕密度有1x,2x,3x,4x四种，如果每一个图片都设置4张图片，加载就会很慢。所以就有了新的srcset标准。代码如下：
其中srcset指定图片的地址和对应的图片质量。sizes用来设置图片的尺寸零界点。对于 srcset 中的 w 单位，可以理解成图片质量。如果可视区域小于这个质量的值，就可以使用。浏览器会自动选择一个最小的可用图片。
sies语法如下：
sizes就是指默认显示128px, 如果视区宽度大于360px, 则显示340px。
HTML面试题

ㅤ普通",
行内元素有哪些 块级元素有哪些 空(void)元素有哪些,"块级元素有：div ul ol li dl dt dd h1 h2 h3 h4 h5 h6 p；空元素，即没有内容的HTML元素。空元素是在开始标签中关闭的，也就是空元素没有闭合标签：
常见的有：<br>、<hr>、<img>、、、“；
鲜见的有：<area>、、`<col>`、、、、、、、`<track>`、。
HTML面试题

ㅤ普通",
说一下 web worker,"在 HTML 页面中，如果在执行脚本时，页面的状态是不可相应的，直到脚本执行完成后，页面才变成可相应。web worker 是运行在后台的 js，独立于其他脚本，不会影响页面的性能。 并且通过 postMessage 将结果回传到主线程。这样在进行复杂操作的时候，就不会阻塞主线程了。
如何创建 web worker：
HTML面试题

ㅤ普通",
浏览器是如何对 HTML5 的离线储存资源进行管理和加载,"在线的情况下，浏览器发现 html 头部有 manifest 属性，它会请求 manifest 文件，如果是第一次访问页面 ，那么浏览器就会根据 manifest 文件的内容下载相应的资源并且进行离线存储。如果已经访问过页面并且资源已经进行离线存储了，那么浏览器就会使用离线的资源加载页面，然后浏览器会对比新的 manifest 文件与旧的 manifest 文件，如果文件没有发生改变，就不做任何操作，如果文件改变了，就会重新下载文件中的资源并进行离线存储。
离线的情况下，浏览器会直接使用离线存储的资源。
HTML面试题

ㅤ普通",
