问题,回答,所属分类
JavaScript基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
是帅地。
1. JavaScript有哪些数据类型，它们的区别
1. JavaScript有哪些数据类型，它们的区别
2. 数据类型检测的方式有哪些
2. 数据类型检测的方式有哪些
3. 判断数组的方式有哪些
3. 判断数组的方式有哪些
4. null和undefined区别
4. null和undefined区别
5. typeof null 的结果是什么，为什么
5. typeof null 的结果是什么，为什么
6. intanceof 操作符的实现原理及实现
6. intanceof 操作符的实现原理及实现
7. 为什么0.1+0.2 !  0.3，如何让其相等
7. 为什么0.1+0.2 !  0.3，如何让其相等
8. 如何获取安全的 undefined 值
8. 如何获取安全的 undefined 值
9. typeof NaN 的结果是什么
9. typeof NaN 的结果是什么
10. isNaN 和 Number.isNaN 函数的区别
10. isNaN 和 Number.isNaN 函数的区别
11.  操作符的强制类型转换规则
11.  操作符的强制类型转换规则
12. 其他值到字符串的转换规则
12. 其他值到字符串的转换规则
13. 其他值到数字值的转换规则
13. 其他值到数字值的转换规则
14. 其他值到布尔类型的值的转换规则
14. 其他值到布尔类型的值的转换规则
15. || 和 && 操作符的返回值
15. || 和 && 操作符的返回值
16. Object.is() 与比较操作符 ===、==的区别
16. Object.is() 与比较操作符 ===、==的区别
17. 什么是 JavaScript 中的包装类型
17. 什么是 JavaScript 中的包装类型
18. JavaScript 中如何进行隐式类型转换
18. JavaScript 中如何进行隐式类型转换
19. + 操作符什么时候用于字符串的拼接
19. + 操作符什么时候用于字符串的拼接
20. 为什么会有BigInt的提案
20. 为什么会有BigInt的提案
21. object.assign和扩展运算法是深拷贝还是浅拷贝，两者区别
21. object.assign和扩展运算法是深拷贝还是浅拷贝，两者区别
22. let、const、var的区别
22. let、const、var的区别
23. const对象的属性可以修改吗
23. const对象的属性可以修改吗
24. 如果new一个箭头函数的会怎么样
24. 如果new一个箭头函数的会怎么样
25. 箭头函数与普通函数的区别
25. 箭头函数与普通函数的区别
26. 箭头函数的this指向哪里
26. 箭头函数的this指向哪里
27. 扩展运算符的作用及使用场景
27. 扩展运算符的作用及使用场景
28. Proxy 可以实现什么功能
28. Proxy 可以实现什么功能
29. 对对象与数组的解构的理解
29. 对对象与数组的解构的理解
30. 对 rest 参数的理解
30. 对 rest 参数的理解
31. ES6中模板语法与字符串处理
31. ES6中模板语法与字符串处理
32. new操作符的实现原理
32. new操作符的实现原理
33. map和Object的区别
33. map和Object的区别
34. map和weakMap的区别
34. map和weakMap的区别
35. JavaScript有哪些内置对象
35. JavaScript有哪些内置对象
36. 常用的正则表达式有哪些
36. 常用的正则表达式有哪些
37. 对JSON的理解
37. 对JSON的理解
38. JavaScript脚本延迟加载的方式有哪些
38. JavaScript脚本延迟加载的方式有哪些
39. JavaScript 类数组对象的定义
39. JavaScript 类数组对象的定义
40. 数组有哪些原生方法
40. 数组有哪些原生方法
41. Unicode、UTF-8、UTF-16、UTF-32的区别
41. Unicode、UTF-8、UTF-16、UTF-32的区别
42. 常见的位运算符有哪些 其计算规则是什么
42. 常见的位运算符有哪些 其计算规则是什么
43. 为什么函数的 arguments 参数是类数组而不是数组 如何遍历类数组
43. 为什么函数的 arguments 参数是类数组而不是数组 如何遍历类数组
44. 什么是 DOM 和 BOM
44. 什么是 DOM 和 BOM
45. 对类数组对象的理解，如何转化为数组
45. 对类数组对象的理解，如何转化为数组
46. escape、encodeURI、encodeURIComponent 的区别
46. escape、encodeURI、encodeURIComponent 的区别
47. 对AJAX的理解，实现一个AJAX请求
47. 对AJAX的理解，实现一个AJAX请求
48. JavaScript为什么要进行变量提升，它导致了什么问题
48. JavaScript为什么要进行变量提升，它导致了什么问题
49. 什么是尾调用，使用尾调用有什么好处
49. 什么是尾调用，使用尾调用有什么好处
50. ES6模块与CommonJS模块有什么异同
50. ES6模块与CommonJS模块有什么异同
51. 常见的DOM操作有哪些
51. 常见的DOM操作有哪些
52. use strict是什么意思 使用它区别是什么
52. use strict是什么意思 使用它区别是什么
53. 如何判断一个对象是否属于某个类
53. 如何判断一个对象是否属于某个类
54. 强类型语言和弱类型语言的区别
54. 强类型语言和弱类型语言的区别
55. 解释性语言和编译型语言的区别
55. 解释性语言和编译型语言的区别
56. for…in和for…of的区别
56. for…in和for…of的区别
57. 如何使用for…of遍历对象
57. 如何使用for…of遍历对象
58. ajax、axios、fetch的区别
58. ajax、axios、fetch的区别
59. 数组的遍历方法有哪些
59. 数组的遍历方法有哪些
60. forEach和map方法有什么区别
60. forEach和map方法有什么区别
61. 对原型、原型链的理解
61. 对原型、原型链的理解
62. 原型修改、重写
62. 原型修改、重写
63. 原型链指向
63. 原型链指向
64. 如何获得对象非原型链上的属性
64. 如何获得对象非原型链上的属性
65. 对闭包的理解
65. 对闭包的理解
66. 对作用域、作用域链的理解
66. 对作用域、作用域链的理解
67. 对this对象的理解
67. 对this对象的理解
68. call() 和 apply() 的区别
68. call() 和 apply() 的区别
69. 实现call、apply 及 bind 函数
69. 实现call、apply 及 bind 函数
70. 异步编程的实现方式
70. 异步编程的实现方式
71. Promise解决了什么问题
71. Promise解决了什么问题
72. Promise.all和Promise.race的区别的使用场景
72. Promise.all和Promise.race的区别的使用场景
73. 对象创建的方式有哪些
73. 对象创建的方式有哪些
74. 对象继承的方式有哪些
74. 对象继承的方式有哪些
75. 列出JS基本和非基本数据类型之间的一些区别
75. 列出JS基本和非基本数据类型之间的一些区别
76. module.exports 和 exports 之间有什么区别
76. module.exports 和 exports 之间有什么区别
77. js 执行机制、事件循环
77. js 执行机制、事件循环
78. promise.all
78. promise.all
79. 介绍一下rAF(requestAnimationFrame)
79. 介绍一下rAF(requestAnimationFrame)
80. javascript 的垃圾回收机制讲一下
80. javascript 的垃圾回收机制讲一下
81. 两种方式实现字符串反转函数
81. 两种方式实现字符串反转函数
82. 事件委托代理
82. 事件委托代理
83. 什么是跨域 跨域请求资源的方法有哪些
83. 什么是跨域 跨域请求资源的方法有哪些
84. 开发过程中遇到的内存泄露情况，如何解决的
84. 开发过程中遇到的内存泄露情况，如何解决的
JavaScrip面试题

ㅤ普通",
JavaScript有哪些数据类型，它们的区别,"JavaScript共有八种数据类型，分别是 Undefined、Null、Boolean、Number、String、Object、Symbol、BigInt。
其中 Symbol 和 BigInt 是ES6 中新增的数据类型：
这些数据可以分为原始数据类型和引用数据类型：
两种类型的区别在于存储位置的不同：
堆和栈的概念存在于数据结构和操作系统内存中，在数据结构中：
在操作系统中，内存被分为栈区和堆区：
JavaScrip面试题

ㅤ普通",
数据类型检测的方式有哪些,"（1）typeof
其中数组、对象、null都会被判断为object，其他判断都正确。
（2）instanceof
instanceof可以正确判断对象的类型，其内部运行机制是判断在其原型链中能否找到该类型的原型。
可以看到，instanceof只能正确判断引用数据类型，而不能判断基本数据类型。instanceof 运算符可以用来测试一个对象在其原型链中是否存在一个构造函数的 prototype 属性。
（3） constructor
constructor有两个作用，一是判断数据的类型，二是对象实例通过 constrcutor 对象访问它的构造函数。需要注意，如果创建一个对象来改变它的原型，constructor就不能用来判断数据类型了：
（4）Object.prototype.toString.call()
Object.prototype.toString.call() 使用 Object 对象的原型方法 toString 来判断数据类型：
同样是检测对象obj调用toString方法，obj.toString()的结果和Object.prototype.toString.call(obj)的结果不一样，这是为什么？
这是因为toString是Object的原型方法，而Array、function等类型作为Object的实例，都重写了toString方法。不同的对象类型调用toString方法时，根据原型链的知识，调用的是对应的重写之后的toString方法（function类型返回内容为函数体的字符串，Array类型返回元素组成的字符串…），而不会去调用Object上原型toString方法（返回对象的具体类型），所以采用obj.toString()不能得到其对象类型，只能将obj转换为字符串类型；因此，在想要得到对象的具体类型时，应该调用Object原型上的toString方法。
JavaScrip面试题

ㅤ普通",
判断数组的方式有哪些,"JavaScrip面试题

ㅤ普通",
null和undefined区别,"首先 Undefined 和 Null 都是基本数据类型，这两个基本数据类型分别都只有一个值，就是 undefined 和 null。
undefined 代表的含义是未定义，null 代表的含义是空对象。一般变量声明了但还没有定义的时候会返回 undefined，null主要用于赋值给一些可能会返回对象的变量，作为初始化。
undefined 在 JavaScript 中不是一个保留字，这意味着可以使用 undefined 来作为一个变量名，但是这样的做法是非常危险的，它会影响对 undefined 值的判断。我们可以通过一些方法获得安全的 undefined 值，比如说 void 0。
当对这两种类型使用 typeof 进行判断时，Null 类型化会返回 “object”，这是一个历史遗留的问题。当使用双等号对两种类型的值进行比较时会返回 true，使用三个等号时会返回 false。
JavaScrip面试题

ㅤ普通",
typeof null 的结果是什么，为什么,"typeof null 的结果是Object。
在 JavaScript 第一个版本中，所有值都存储在 32 位的单元中，每个单元包含一个小的 类型标签(1-3 bits) 以及当前要存储值的真实数据。类型标签存储在每个单元的低位中，共有五种数据类型：
如果最低位是 1，则类型标签标志位的长度只有一位；如果最低位是 0，则类型标签标志位的长度占三位，为存储其他四种数据类型提供了额外两个 bit 的长度。
有两种特殊数据类型：
那也就是说null的类型标签也是000，和Object的类型标签一样，所以会被判定为Object。
JavaScrip面试题

ㅤ普通",
intanceof 操作符的实现原理及实现,"instanceof 运算符用于判断构造函数的 prototype 属性是否出现在对象的原型链中的任何位置。
JavaScrip面试题

ㅤ普通",
为什么0.1+0.2 ! == 0.3，如何让其相等,"在开发过程中遇到类似这样的问题：
这里得到的不是想要的结果，要想等于0.3，就要把它进行转化：
toFixed(num) 方法可把 Number 四舍五入为指定小数位数的数字。那为什么会出现这样的结果呢？
计算机是通过二进制的方式存储数据的，所以计算机计算0.1+0.2的时候，实际上是计算的两个数的二进制的和。0.1的二进制是0.0001100110011001100...（1100循环），0.2的二进制是：0.00110011001100...（1100循环），这两个数的二进制都是无限循环的数。那JavaScript是如何处理无限循环的二进制小数呢？
一般我们认为数字包括整数和小数，但是在 JavaScript 中只有一种数字类型：Number，它的实现遵循IEEE 754标准，使用64位固定长度来表示，也就是标准的double双精度浮点数。在二进制科学表示法中，双精度浮点数的小数部分最多只能保留52位，再加上前面的1，其实就是保留53位有效数字，剩余的需要舍去，遵从“0舍1入”的原则。
根据这个原则，0.1和0.2的二进制数相加，再转化为十进制数就是：0.30000000000000004。
下面看一下双精度数是如何保存的：

对于0.1，它的二进制为：
转为科学计数法（科学计数法的结果就是浮点数）：
可以看出0.1的符号位为0，指数位为-4，小数位为：
那么问题又来了，指数位是负数，该如何保存呢？
IEEE标准规定了一个偏移量，对于指数部分，每次都加这个偏移量进行保存，这样即使指数是负数，那么加上这个偏移量也就是正数了。由于JavaScript的数字是双精度数，这里就以双精度数为例，它的指数部分为11位，能表示的范围就是0~2047，IEEE固定双精度数的偏移量为1023。
对于上面的0.1的指数位为-4，-4+1023 = 1019 转化为二进制就是：1111111011.
所以，0.1表示为：
说了这么多，是时候该最开始的问题了，如何实现0.1+0.2=0.3呢？
对于这个问题，一个直接的解决方法就是设置一个误差范围，通常称为“机器精度”。对JavaScript来说，这个值通常为2-52，在ES6中，提供了Number.EPSILON属性，而它的值就是2-52，只要判断0.1+0.2-0.3是否小于Number.EPSILON，如果小于，就可以判断为0.1+0.2 =0.3
JavaScrip面试题

ㅤ普通",
如何获取安全的 undefined 值,"因为 undefined 是一个标识符，所以可以被当作变量来使用和赋值，但是这样会影响 undefined 的正常判断。表达式 void ___ 没有返回值，因此返回结果是 undefined。void 并不改变表达式的结果，只是让表达式不返回值。因此可以用 void 0 来获得 undefined。
JavaScrip面试题

ㅤ普通",
typeof NaN 的结果是什么,"NaN 指“不是一个数字”（not a number），NaN 是一个“警戒值”（sentinel value，有特殊用途的常规值），用于指出数字类型中的错误情况，即“执行数学运算没有成功，这是失败后返回的结果”。
NaN 是一个特殊值，它和自身不相等，是唯一一个非自反（自反，reflexive，即 x= = =x 不成立）的值。而 NaN !== NaN 为 true。
JavaScrip面试题

ㅤ普通",
