问题,回答,所属分类
Python 机器学习面试题阅读指南（必看）,"大家好，我是帅地。 为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。 由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 什么是机器学习
1. 什么是机器学习
2. 机器学习与数据挖掘的区别？
2. 机器学习与数据挖掘的区别？
3. 什么是机器学习的过度拟合现象？过度拟合产生的原因？如何避免过拟合问题？
3. 什么是机器学习的过度拟合现象？过度拟合产生的原因？如何避免过拟合问题？
4. 什么是机器学习的欠拟合？如何避免欠拟合问题？
4. 什么是机器学习的欠拟合？如何避免欠拟合问题？
5. 解释有监督和无监督机器学习之间的区别？
5. 解释有监督和无监督机器学习之间的区别？
6. 偏差和方差之间的权衡是什么？
6. 偏差和方差之间的权衡是什么？
7. 解释 KNN 和 k-means 聚类之间的区别？
7. 解释 KNN 和 k-means 聚类之间的区别？
8. 什么是贝叶斯定理？我们为什么用它？
8. 什么是贝叶斯定理？我们为什么用它？
9. 什么是朴素贝叶斯分类器？我们为什么要使用它们？
9. 什么是朴素贝叶斯分类器？我们为什么要使用它们？
10. 判别模型和生成模型之间有什么区别？
10. 判别模型和生成模型之间有什么区别？
11. 什么是参数模型？提供一个例子
11. 什么是参数模型？提供一个例子
12. 如何根据训练集大小选择分类器？
12. 如何根据训练集大小选择分类器？
13. 解释ROC曲线和AUC？
13. 解释ROC曲线和AUC？
14. 如何确保您不会过度拟合模型？
14. 如何确保您不会过度拟合模型？
15. 说明如何处理数据集中的丢失或损坏的数据？
15. 说明如何处理数据集中的丢失或损坏的数据？
16. 解释如何开发数据管道？
16. 解释如何开发数据管道？
17. 如何解决模型中的高方差？
17. 如何解决模型中的高方差？
18. 什么是超参数？它们与模型参数有何不同？
18. 什么是超参数？它们与模型参数有何不同？
19. 你正在处理数据集。如何选择重要变量？
19. 你正在处理数据集。如何选择重要变量？
20. 为什么 XGBoost 的性能优于 SVM？
20. 为什么 XGBoost 的性能优于 SVM？
21. 以下混淆矩阵的召回率，特异性和精确度是多少？
21. 以下混淆矩阵的召回率，特异性和精确度是多少？
22. 使用 scikit-learn 时，是否确实需要在特征值变化很大时调整特征值？
22. 使用 scikit-learn 时，是否确实需要在特征值变化很大时调整特征值？
23. 你的数据集有 50 个变量，但是8个变量的缺失值高于 30％。如何解决这个问题？
23. 你的数据集有 50 个变量，但是8个变量的缺失值高于 30％。如何解决这个问题？
24. 协方差和相关性有什么区别？
24. 协方差和相关性有什么区别？
25. 你认为把分类变量当成连续型变量会得到一个更好的预测模型吗？
25. 你认为把分类变量当成连续型变量会得到一个更好的预测模型吗？
26. 在 K-means 或者 KNN，我们是用欧氏距离来计算最近的邻居之间的距离，为什么不用曼哈顿距离？
26. 在 K-means 或者 KNN，我们是用欧氏距离来计算最近的邻居之间的距离，为什么不用曼哈顿距离？
27. 给你一个数据集，这个数据集有缺失值，且这些缺失值分布在高中值有1一个标准偏差的的范围内，百分之多少的数据不会受到影响？为什么？
27. 给你一个数据集，这个数据集有缺失值，且这些缺失值分布在高中值有1一个标准偏差的的范围内，百分之多少的数据不会受到影响？为什么？
28. 线程分类器与非线性分类器的区别以及优劣？
28. 线程分类器与非线性分类器的区别以及优劣？
29. 文本中的余弦距离是什么，有哪些作用？
29. 文本中的余弦距离是什么，有哪些作用？
30. 什么是数据埋点？
30. 什么是数据埋点？
31. 请简要说说一个完整的机器学习项目流程
31. 请简要说说一个完整的机器学习项目流程
32. 我们知道，独热编码（OneHotEncoder）会增加数据集的维度。但是标签编码（LabelEncoder）不会。为什么？
32. 我们知道，独热编码（OneHotEncoder）会增加数据集的维度。但是标签编码（LabelEncoder）不会。为什么？
Python机器学习

ㅤ普通",
什么是机器学习,"简单的说，机器学习就是让机器从数据中学习，进而得到一个更加符合现实规律的模型，通过对模型的使用使得机器比以往表现的更好，这就是机器学习。
对上面这句话的理解：
数据：从现实生活抽象出来的一些事物或者规律的特征进行数字化得到。
学习：在数据的基础上让机器重复执行一套特定的步骤（学习算法）进行事物特征的萃取，得到一个更加逼近于现实的描述（这个描述是一个模型它的本身可能就是一个函数）。我们把大概能够描述现实的这个函数称作我们学到的模型。
更好：我们通过对模型的使用就能更好的解释世界，解决与模型相关的问题。
Python机器学习

ㅤ普通",
机器学习与数据挖掘的区别？,"数据挖掘和机器学习的区别和联系，周志华有一篇很好的论述《机器学习和数据挖掘》可以帮助大家理解。
数据挖掘受到很多学科领域的影响，其中数据库、机器学习、统计学无疑影响最大。简言之，对数据挖掘而言，数据库提供数据管理技术，机器学习和统计学提供数据分析技术。
由于统计学往往醉心于理论的优美而忽视实际的效用，因此，统计学界提供的很多技术通常都要在机器学习界进一步研究，变成有效的机器学习算法之后才能再进入数据挖掘领域。从这个意义上说，统计学主要是通过机器学习来对数据挖掘发挥影响，而机器学习和数据库则是数据挖掘的两大支撑技术。
从数据分析的角度来看，绝大多数数据挖掘技术都来自机器学习领域，但机器学习研究往往并不把海量数据作为处理对象，因此，数据挖掘要对算法进行改造，使得算法性能和空间占用达到实用的地步。同时，数据挖掘还有自身独特的内容，即关联分析。
而模式识别和机器学习的关系是什么呢，传统的模式识别的方法一般分为两种：统计方法和句法方法。句法分析一般是不可学习的，而统计分析则是发展了不少机器学习的方法。也就是说，机器学习同样是给模式识别提供了数据分析技术。
至于，数据挖掘和模式识别，那么从其概念上来区分吧，数据挖掘重在发现知识，模式识别重在认识事物。
机器学习的目的是建模隐藏的数据结构，然后做识别、预测、分类等。因此，机器学习是方法，模式识别是目的。
总结一下吧。只要跟决策有关系的都能叫 AI(人工智能)，所以说 PR（模式识别）、DM（数据挖掘）、IR（信息检索） 属于 AI 的具 体应用应该没有问题。 研究的东西则不太一样， ML(机器学习) 强调自我完善的过程。 Anyway，这些学科都是相通的。
Python机器学习

ㅤ普通",
什么是机器学习的过度拟合现象？过度拟合产生的原因？如何避免过拟合问题？,"如果一味的去提高训练数据的预测能力，所选模型的复杂度往往会很高，这种现象称为过拟合，所表现的就是模型训练时候的误差很小，但在测试的时候误差很大。
过拟合的产生总结一下大概有以下五种原因可能产生:
(1) 建模样本抽取错误，包括（但不限于）样本数量太少，抽样方法错误，抽样时没有足够正确考虑业务场景或业务特点，等等导致抽出的样本数据不能有效足够代表业务逻辑或业务场景
(2) 样本里的噪音数据干扰过大，大到模型过分记住了噪音特征，反而忽略了真实的输入输出间的关系
(3) 在决策树模型搭建中，如果我们对于决策树的生长没有合理的限制和修剪的话，决策树的自由生长有可能每片叶子里只包含单纯的事件数据(event)或非事件数据（no event），可以想象，这种决策树当然可以完美匹配（拟合）训练数据，但是一旦应用到新的业务真实数据时，效果是一塌糊涂。
(4) 建模时的“逻辑假设”到了模型应用时已经不能成立了。任何预测模型都是在假设的基础上才可以搭建和应用的，常用的假设包括：假设历史数据可以推测未来，假设业务环节没有发生显著变化，假设建模数据与后来的应用数据是相似的，等等。如果上述假设违反了业务场景的话，根据这些假设搭建的模型当然是无法有效应用的。
(5) 建模时使用了太多的输入变量，这跟上面第二点（噪音数据）有些类似，数据挖掘新人常常犯这个错误，自己不做分析判断，把所有的变量交给软件或者机器去“撞大运”。须知，一个稳定优良的模型一定要遵循建模输入变量“少而精”的原则的。
上面的原因都是现象，但是其本质只有一个，那就是“业务理解错误造成的”，无论是抽样，还是噪音，还是决策树，神经网络等等，如果我们对于业务背景和业务知识非常了解，非常透彻的话，一定是可以避免绝大多数过拟合现象产生的。因为在模型从确定需求，到思路讨论，到搭建，到业务应用验证，各个环节都是可以用业务敏感来防止过拟合于未然的。
避免过拟合问题：
(1) 重采样Bootstrap
(2) L1，L2 正则化
(3) 决策树的剪枝操作
(4) 交叉验证
Python机器学习

ㅤ普通",
什么是机器学习的欠拟合？如何避免欠拟合问题？,"所谓欠拟合就是模型复杂度低或者数据集太小，对模型数据的拟合程度不高，因此模型在训练集上的效果就不好。
避免欠拟合问题：
(1) 增加样本数量
(2) 增加样本特征的数量
(3) 可以进行特征维度扩展
Python机器学习

ㅤ普通",
解释有监督和无监督机器学习之间的区别？,"监督学习需要训练标记的数据。换句话说，监督学习使用了基本事实，这意味着我们对输出和样本已有知识。这里的目标是学习一个近似输入和输出之间关系的函数。
另一方面，无监督学习不使用标记的输出。此处的目标是推断数据集中的自然结构。
Python机器学习

ㅤ普通",
偏差和方差之间的权衡是什么？,"偏差（模型拟合数据的程度）是指由于ML算法中的假设不正确或过于简单而导致的误差，这会导致过度拟合。
方差（模型基于输入的变化量）指的是由于ML算法的复杂性而导致的错误，从而对训练数据的高水平变化和过度拟合产生了敏感性。
换句话说，简单的模型是稳定的（低方差）但有很大的偏差。复杂的模型容易过拟合，但表达了模型的真实性（低偏差）。误差的最佳减少需要权衡偏差和方差，以避免高方差和高偏差。
Python机器学习

ㅤ普通",
解释 KNN 和 k-means 聚类之间的区别？,"主要区别在于，KNN 需要标记点（分类算法，监督学习），而 k-means 则不需要（聚类算法，无监督学习）。
若要使用 K 最近邻，请使用要分类为未标记点的标记数据。K 均值聚类采用未标记的点，并学习如何使用点之间距离的平均值对它们进行分组。
Python机器学习

ㅤ普通",
什么是贝叶斯定理？我们为什么用它？,"贝叶斯定理是我们在知道其他概率时如何找到概率的方法。换句话说，它提供了先验知识事件的后验概率。该定理是计算条件概率的原则方法。
在 ML 中，贝叶斯定理用于将模型拟合到训练数据集的概率框架中，并用于建立分类预测建模问题（即，朴素贝叶斯，贝叶斯最优分类器）。
Python机器学习

ㅤ普通",
什么是朴素贝叶斯分类器？我们为什么要使用它们？,"朴素贝叶斯分类器是分类算法的集合。这些分类器是具有共同原理的一系列算法。朴素贝叶斯分类器假设某个功能的存在或不影响其他功能的存在或不存在。
换句话说，我们称其为“天真”，因为它假定所有数据集特征都同等重要且独立。
朴素贝叶斯分类器用于分类。当独立性的假设成立时，与其他复杂的预测变量相比，它们更易于实现并产生更好的结果。它们用于垃圾邮件过滤，文本分析和推荐系统。
Python机器学习

ㅤ普通",
