问题,回答,所属分类
Vue基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. vue 组件通讯方式有哪些方法
1. vue 组件通讯方式有哪些方法
2. Vue 响应式原理
2. Vue 响应式原理
3. Vue nextTick 原理
3. Vue nextTick 原理
4. 手写 Vue.extend 实现
4. 手写 Vue.extend 实现
5. 什么是 MVVM
5. 什么是 MVVM
6. mvvm 与 mvc 区别 它和其它框架（jquery）的区别是什么 哪些场景适用
6. mvvm 与 mvc 区别 它和其它框架（jquery）的区别是什么 哪些场景适用
7. vue.cli 中怎样使用自定义组件 遇到过哪些问题
7. vue.cli 中怎样使用自定义组件 遇到过哪些问题
8. Vue的双向数据绑定原理是什么
8. Vue的双向数据绑定原理是什么
9. 详细说下你对vue生命周期的理解
9. 详细说下你对vue生命周期的理解
10. vue.cli中怎样使用自定义的组件 有遇到过哪些问题吗
10. vue.cli中怎样使用自定义的组件 有遇到过哪些问题吗
11. vue是渐进式的框架的理解
11. vue是渐进式的框架的理解
12. vue中子组件调用父组件的方法
12. vue中子组件调用父组件的方法
13. vue中 keep-alive 组件的作用
13. vue中 keep-alive 组件的作用
14. vue等单页面应用优缺点
14. vue等单页面应用优缺点
15. Vue 如何去除url中的 #
15. Vue 如何去除url中的 #
16. Vue 响应式原理
16. Vue 响应式原理
17. computed 的实现原理
17. computed 的实现原理
18. computed 和 watch 有什么区别及运用场景
18. computed 和 watch 有什么区别及运用场景
19. 为什么在 Vue3.0 采用了 Proxy,抛弃了Object.defineProperty
19. 为什么在 Vue3.0 采用了 Proxy,抛弃了Object.defineProperty
20. Vue 中的 key 到底有什么用
20. Vue 中的 key 到底有什么用
21. 谈一谈 nextTick 的原理
21. 谈一谈 nextTick 的原理
22. Vue 组件 data 为什么必须是函数
22. Vue 组件 data 为什么必须是函数
23. 说说 Vue 的渲染过程
23. 说说 Vue 的渲染过程
24. 简述每个周期具体适合哪些场景
24. 简述每个周期具体适合哪些场景
25. 什么是vue-router
25. 什么是vue-router
26. Vue2.x和Vue3.x渲染器的diff算法分别说一下
26. Vue2.x和Vue3.x渲染器的diff算法分别说一下
27. 说一下虚拟Dom以及key属性的作用
27. 说一下虚拟Dom以及key属性的作用
28. Vue模版编译原理知道吗，能简单说一下吗
28. Vue模版编译原理知道吗，能简单说一下吗
29. keep-alive了解吗
29. keep-alive了解吗
30. Vue2.x组件通信有哪些方式
30. Vue2.x组件通信有哪些方式
31. computed 的实现原理
31. computed 的实现原理
32. Computed和Watch的区别
32. Computed和Watch的区别
33. slot是什么 有什么作用 原理是什么
33. slot是什么 有什么作用 原理是什么
34. $nextTick 原理及作用
34. $nextTick 原理及作用
35. Vue 中给 data 中的对象属性添加一个新的属性时会发生什么 如何解决
35. Vue 中给 data 中的对象属性添加一个新的属性时会发生什么 如何解决
36. Vue 单页应用与多页应用的区别
36. Vue 单页应用与多页应用的区别
37. Vue data 中某一个属性的值发生改变后，视图会立即同步执行重新渲染吗
37. Vue data 中某一个属性的值发生改变后，视图会立即同步执行重新渲染吗
38. 子组件可以直接改变父组件的数据吗
38. 子组件可以直接改变父组件的数据吗
39. 说一下对 React 和 Vue 的理解，它们的异同
39. 说一下对 React 和 Vue 的理解，它们的异同
40. Vue的优点
40. Vue的优点
41. Vue模版编译原理
41. Vue模版编译原理
42. 对SSR的理解
42. 对SSR的理解
43. Vue的性能优化有哪些
43. Vue的性能优化有哪些
44. 对 SPA 单页面的理解，它的优缺点分别是什么
44. 对 SPA 单页面的理解，它的优缺点分别是什么
45. Vue 子组件和父组件执行顺序
45. Vue 子组件和父组件执行顺序
46. Vue-Router 的懒加载如何实现
46. Vue-Router 的懒加载如何实现
47. 路由的hash和history模式的区别
47. 路由的hash和history模式的区别
48. 使用 Object.defineProperty() 来进行数据劫持有什么缺点
48. 使用 Object.defineProperty() 来进行数据劫持有什么缺点
49. Vue-router跳转和location.href有什么区别
49. Vue-router跳转和location.href有什么区别
50. 对前端路由的理解
50. 对前端路由的理解
51. Redux 和 Vuex 有什么区别，它们的共同思想
51. Redux 和 Vuex 有什么区别，它们的共同思想
52. 为什么 Vuex 的 mutation 中不能做异步操作
52. 为什么 Vuex 的 mutation 中不能做异步操作
53. Vue3.0有什么更新
53. Vue3.0有什么更新
54. defineProperty和proxy的区别
54. defineProperty和proxy的区别
Vue面试题

ㅤ普通",
vue 组件通讯方式有哪些方法,"Vue面试题

ㅤ普通",
Vue 响应式原理,"整体思路是数据劫持+观察者模式
对象内部通过 defineReactive 方法，使用 Object.defineProperty 将属性进行劫持（只会劫持已经存在的属性），数组则是通过重写数组方法来实现。当页面使用对应属性时，每个属性都拥有自己的 dep 属性，存放他所依赖的 watcher（依赖收集），当属性变化后会通知自己对应的 watcher 去更新(派发更新)。
Vue面试题

ㅤ普通",
Vue nextTick 原理,"nextTick 中的回调是在下次 DOM 更新循环结束之后执行的延迟回调。在修改数据之后立即使用这个方法，获取更新后的 DOM。主要思路就是采用微任务优先的方式调用异步方法去执行 nextTick 包装的方法
Vue面试题

ㅤ普通",
手写 Vue.extend 实现,"Vue面试题

ㅤ普通",
什么是 MVVM,"MVVM是Model-View-ViewModel的缩写。MVVM是一种设计思想。Model 层代表数据模型，也可以在Model中定义数据修改和操作的业务逻辑；View 代表UI 组件，它负责将数据模型转化成UI 展现出来，ViewModel 是一个同步View 和 Model的对象。
在MVVM架构下，View 和 Model 之间并没有直接的联系，而是通过ViewModel进行交互，Model 和 ViewModel 之间的交互是双向的， 因此View 数据的变化会同步到Model中，而Model 数据的变化也会立即反应到View 上。
ViewModel 通过双向数据绑定把 View 层和 Model 层连接起来，而View 和 Model 之间的同步工作完全是自动的，无需人为干涉，因此开发者只需关注业务逻辑，不需要手动操作DOM, 不需要关注数据状态的同步问题，复杂的数据状态维护完全由 MVVM 来统一管理。
Vue面试题

ㅤ普通",
mvvm 与 mvc 区别 它和其它框架（jquery）的区别是什么 哪些场景适用,"mvc和mvvm其实区别并不大，都是一种设计思想。主要就是mvc中Controller演变成mvvm中的viewModel。mvvm主要解决了mvc中大量的DOM 操作使页面渲染性能降低，加载速度变慢，影响用户体验。
区别：vue数据驱动，通过数据来显示视图层而不是节点操作。
场景：数据操作比较多、频繁的场景，更加便捷。
Vue面试题

ㅤ普通",
vue.cli 中怎样使用自定义组件 遇到过哪些问题,"第一步：在components目录新建组件文件（indexPage.vue），script一定要export default {}。
第二步：在需要用的页面（组件）中导入：import indexPage from ‘@/components/indexPage.vue’
第三步：注入到vue子组件的components属性上面,components:{indexPage}
第四步：在template视图view中使用，例如有indexPage命名，使用的时候则index-page。
Vue面试题

ㅤ普通",
Vue的双向数据绑定原理是什么,"vue.js 是采用数据劫持结合发布者-订阅者模式的方式，通过Object.defineProperty()来劫持各个属性的setter，getter，在数据变动时发布消息给订阅者，触发相应的监听回调。
具体步骤：
第一步：需要observe的数据对象进行递归遍历，包括子属性对象的属性，都加上 setter和getter这样的话，给这个对象的某个值赋值，就会触发setter，那么就能监听到了数据变化
第二步：compile解析模板指令，将模板中的变量替换成数据，然后初始化渲染页面视图，并将每个指令对应的节点绑定更新函数，添加监听数据的订阅者，一旦数据有变动，收到通知，更新视图
第三步：Watcher订阅者是Observer和Compile之间通信的桥梁，主要做的事情是:
1、在自身实例化时往属性订阅器(dep)里面添加自己
2、自身必须有一个update()方法
3、待属性变动dep.notice()通知时，能调用自身的update()方法，并触发Compile中绑定的回调，则功成身退。
第四步：MVVM作为数据绑定的入口，整合Observer、Compile和Watcher三者，通过Observer来监听自己的model数据变化，通过Compile来解析编译模板指令，最终利用Watcher搭起Observer和Compile之间的通信桥梁，达到数据变化 -> 视图更新；视图交互变化(input) -> 数据model变更的双向绑定效果。
Vue面试题

ㅤ普通",
详细说下你对vue生命周期的理解,"总共分为8个阶段创建前/后，载入前/后，更新前/后，销毁前/后。
创建前后：在beforeCreated阶段，vue实例的挂载元素el和数据对象data都为undefined，还未初始化。在created阶段，vue实例的数据对象data有了，el和数据对象data都为undefined，还未初始化。在created阶段，vue实例的数据对象data有了，el还没有。
载入前后：在beforeMount阶段，vue实例的$el和data都初始化了，但还是挂载之前为虚拟的dom节点，data.message还未替换。在mounted阶段，vue实例挂载完成，data.message成功渲染。
更新前后：当data变化时，会触发beforeUpdate和updated方法。
销毁前后：在执行destroy方法后，对data的改变不会再触发周期函数，说明此时vue实例已经解除了事件监听以及和dom的绑定，但是dom结构依然存在
Vue面试题

ㅤ普通",
