问题,回答,所属分类
Java 中的 IO 流的分类？说出几个你熟悉的实现类？,"按功能来分：输入流（input）、输出流（output）。
按类型来分：字节流 和 字符流。
字节流：InputStream/OutputStream 是字节流的抽象类，这两个抽象类又派生了若干子类，不同的子类分别处理不同的操作类型。具体子类如下所示：

字符流：Reader/Writer 是字符的抽象类，这两个抽象类也派生了若干子类，不同的子类分别处理不同的操作类型。

JavaIO",
字节流和字符流有什么区别？,"字节流按 8 位传输，以字节为单位输入输出数据，字符流按 16 位传输，以字符为单位输入输出数据。
但是不管文件读写还是网络发送接收，信息的最小存储单元都是字节。
JavaIO",
BIO、NIO、AIO 有什么区别？,"BIO：Block IO 同步阻塞式 IO，就是我们平常使用的传统 IO，它的特点是模式简单使用方便，并发处理能力低。同步阻塞I/O模式，数据的读取写入必须阻塞在一个线程内等待其完成。在活动连接数不是特别高（小于单机 1000）的情况下，这种模型是比较不错的，可以让每一个连接专注于自己的 I/O 并且编程模型简单，也不用过多考虑系统的过载、限流等问题。线程池本身就是一个天然的漏斗，可以缓冲一些系统处理不了的连接或请求。但是，当面对十万甚至百万级连接的时候，传统的 BIO 模型是无能为力的。因此，我们需要一种更高效的 I/O 处理模型来应对更高的并发量。
NIO：New IO 同步非阻塞 IO，是传统 IO 的升级，客户端和服务器端通过 Channel（通道）通讯，实现了多路复用。NIO  是一种同步非阻塞的 I/O 模型，在 Java1.4 中引入了 NIO 框架，对应 java.nio 包，提供了 Channel , Selector，Buffer 等抽象。NIO 中的 N 可以理解为 Non-blocking，不单纯是 New。它支持面向缓冲的，基于通道的 I/O 操作方法。NIO 提供了与传统BIO模型中的 Socket 和 ServerSocket 相对应的 SocketChannel 和 ServerSocketChannel 两种不同的套接字通道实现，两种通道都支持阻塞和非阻塞两种模式。阻塞模式使用就像传统中的支持一样，比较简单，但是性能和可靠性都不好；非阻塞模式正好与之相反。对于低负载、低并发的应用程序，可以使用同步阻塞 I/O 来提升开发速率和更好的维护性；对于高负载、高并发的（网络）应用，应使用 NIO 的非阻塞模式来开发。
AIO：Asynchronous IO 是 NIO 的升级，也叫 NIO2，实现了异步非堵塞 IO ，异步 IO 的操作基于事件和回调机制。也就是应用操作之后会直接返回，不会堵塞在那里，当后台处理完成，操作系统会通知相应的线程进行后续的操作。AIO 是异步 IO 的缩写，虽然 NIO 在网络操作中，提供了非阻塞的方法，但是 NIO 的 IO 行为还是同步的。对于 NIO 来说，我们的业务线程是在 IO 操作准备好时，得到通知，接着就由这个线程自行进行 IO 操作，IO操作本身是同步的。
JavaIO",
Java IO,"为了方便维护，校对错误等，目前改为只提供一种阅读方式，看这里： Java基础面试题阅读指南
 Java基础面试题阅读指南
JavaIO",
JavaScript 中如何进行隐式类型转换,"首先要介绍ToPrimitive方法，这是 JavaScript 中每个值隐含的自带的方法，用来将值 （无论是基本类型值还是对象）转换为基本类型值。如果值为基本类型，则直接返回值本身；如果值为对象，其看起来大概是这样：
type的值为number或者string。
（1）当type为number时规则如下：
（2）当type为string时规则如下：
可以看出两者的主要区别在于调用toString和valueOf的先后顺序。默认情况下：
总结上面的规则，对于 Date 以外的对象，转换为基本类型的大概规则可以概括为一个函数：
而 JavaScript 中的隐式类型转换主要发生在+、-、*、/以及= =、>、<这些运算符之间。而这些运算符只能操作基本类型值，所以在进行这些运算前的第一步就是将两边的值用ToPrimitive转换成基本类型，再进行操作。
以下是基本类型的值在不同操作符的情况下隐式转换的规则 （对于对象，其会被ToPrimitive转换成基本类型，所以最终还是要应用基本类型转换规则）：
+操作符的两边有至少一个string类型变量时，两边的变量都会被隐式转换为字符串；其他情况下两边的变量都会被转换为数字。
NaN也是一个数字
操作符两边的值都尽量转成number：
如果两边都是字符串，则比较字母表顺序：
其他情况下，转换为数字再比较：
以上说的是基本类型的隐式转换，而对象会被ToPrimitive转换为基本类型再进行转换：
其对比过程如下：
又比如：
运算过程如下：

ㅤ普通",
JavaScript基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
是帅地。
1. JavaScript有哪些数据类型，它们的区别
1. JavaScript有哪些数据类型，它们的区别
2. 数据类型检测的方式有哪些
2. 数据类型检测的方式有哪些
3. 判断数组的方式有哪些
3. 判断数组的方式有哪些
4. null和undefined区别
4. null和undefined区别
5. typeof null 的结果是什么，为什么
5. typeof null 的结果是什么，为什么
6. intanceof 操作符的实现原理及实现
6. intanceof 操作符的实现原理及实现
7. 为什么0.1+0.2 !  0.3，如何让其相等
7. 为什么0.1+0.2 !  0.3，如何让其相等
8. 如何获取安全的 undefined 值
8. 如何获取安全的 undefined 值
9. typeof NaN 的结果是什么
9. typeof NaN 的结果是什么
10. isNaN 和 Number.isNaN 函数的区别
10. isNaN 和 Number.isNaN 函数的区别
11.  操作符的强制类型转换规则
11.  操作符的强制类型转换规则
12. 其他值到字符串的转换规则
12. 其他值到字符串的转换规则
13. 其他值到数字值的转换规则
13. 其他值到数字值的转换规则
14. 其他值到布尔类型的值的转换规则
14. 其他值到布尔类型的值的转换规则
15. || 和 && 操作符的返回值
15. || 和 && 操作符的返回值
16. Object.is() 与比较操作符 ===、==的区别
16. Object.is() 与比较操作符 ===、==的区别
17. 什么是 JavaScript 中的包装类型
17. 什么是 JavaScript 中的包装类型
18. JavaScript 中如何进行隐式类型转换
18. JavaScript 中如何进行隐式类型转换
19. + 操作符什么时候用于字符串的拼接
19. + 操作符什么时候用于字符串的拼接
20. 为什么会有BigInt的提案
20. 为什么会有BigInt的提案
21. object.assign和扩展运算法是深拷贝还是浅拷贝，两者区别
21. object.assign和扩展运算法是深拷贝还是浅拷贝，两者区别
22. let、const、var的区别
22. let、const、var的区别
23. const对象的属性可以修改吗
23. const对象的属性可以修改吗
24. 如果new一个箭头函数的会怎么样
24. 如果new一个箭头函数的会怎么样
25. 箭头函数与普通函数的区别
25. 箭头函数与普通函数的区别
26. 箭头函数的this指向哪里
26. 箭头函数的this指向哪里
27. 扩展运算符的作用及使用场景
27. 扩展运算符的作用及使用场景
28. Proxy 可以实现什么功能
28. Proxy 可以实现什么功能
29. 对对象与数组的解构的理解
29. 对对象与数组的解构的理解
30. 对 rest 参数的理解
30. 对 rest 参数的理解
31. ES6中模板语法与字符串处理
31. ES6中模板语法与字符串处理
32. new操作符的实现原理
32. new操作符的实现原理
33. map和Object的区别
33. map和Object的区别
34. map和weakMap的区别
34. map和weakMap的区别
35. JavaScript有哪些内置对象
35. JavaScript有哪些内置对象
36. 常用的正则表达式有哪些
36. 常用的正则表达式有哪些
37. 对JSON的理解
37. 对JSON的理解
38. JavaScript脚本延迟加载的方式有哪些
38. JavaScript脚本延迟加载的方式有哪些
39. JavaScript 类数组对象的定义
39. JavaScript 类数组对象的定义
40. 数组有哪些原生方法
40. 数组有哪些原生方法
41. Unicode、UTF-8、UTF-16、UTF-32的区别
41. Unicode、UTF-8、UTF-16、UTF-32的区别
42. 常见的位运算符有哪些 其计算规则是什么
42. 常见的位运算符有哪些 其计算规则是什么
43. 为什么函数的 arguments 参数是类数组而不是数组 如何遍历类数组
43. 为什么函数的 arguments 参数是类数组而不是数组 如何遍历类数组
44. 什么是 DOM 和 BOM
44. 什么是 DOM 和 BOM
45. 对类数组对象的理解，如何转化为数组
45. 对类数组对象的理解，如何转化为数组
46. escape、encodeURI、encodeURIComponent 的区别
46. escape、encodeURI、encodeURIComponent 的区别
47. 对AJAX的理解，实现一个AJAX请求
47. 对AJAX的理解，实现一个AJAX请求
48. JavaScript为什么要进行变量提升，它导致了什么问题
48. JavaScript为什么要进行变量提升，它导致了什么问题
49. 什么是尾调用，使用尾调用有什么好处
49. 什么是尾调用，使用尾调用有什么好处
50. ES6模块与CommonJS模块有什么异同
50. ES6模块与CommonJS模块有什么异同
51. 常见的DOM操作有哪些
51. 常见的DOM操作有哪些
52. use strict是什么意思 使用它区别是什么
52. use strict是什么意思 使用它区别是什么
53. 如何判断一个对象是否属于某个类
53. 如何判断一个对象是否属于某个类
54. 强类型语言和弱类型语言的区别
54. 强类型语言和弱类型语言的区别
55. 解释性语言和编译型语言的区别
55. 解释性语言和编译型语言的区别
56. for…in和for…of的区别
56. for…in和for…of的区别
57. 如何使用for…of遍历对象
57. 如何使用for…of遍历对象
58. ajax、axios、fetch的区别
58. ajax、axios、fetch的区别
59. 数组的遍历方法有哪些
59. 数组的遍历方法有哪些
60. forEach和map方法有什么区别
60. forEach和map方法有什么区别
61. 对原型、原型链的理解
61. 对原型、原型链的理解
62. 原型修改、重写
62. 原型修改、重写
63. 原型链指向
63. 原型链指向
64. 如何获得对象非原型链上的属性
64. 如何获得对象非原型链上的属性
65. 对闭包的理解
65. 对闭包的理解
66. 对作用域、作用域链的理解
66. 对作用域、作用域链的理解
67. 对this对象的理解
67. 对this对象的理解
68. call() 和 apply() 的区别
68. call() 和 apply() 的区别
69. 实现call、apply 及 bind 函数
69. 实现call、apply 及 bind 函数
70. 异步编程的实现方式
70. 异步编程的实现方式
71. Promise解决了什么问题
71. Promise解决了什么问题
72. Promise.all和Promise.race的区别的使用场景
72. Promise.all和Promise.race的区别的使用场景
73. 对象创建的方式有哪些
73. 对象创建的方式有哪些
74. 对象继承的方式有哪些
74. 对象继承的方式有哪些
75. 列出JS基本和非基本数据类型之间的一些区别
75. 列出JS基本和非基本数据类型之间的一些区别
76. module.exports 和 exports 之间有什么区别
76. module.exports 和 exports 之间有什么区别
77. js 执行机制、事件循环
77. js 执行机制、事件循环
78. promise.all
78. promise.all
79. 介绍一下rAF(requestAnimationFrame)
79. 介绍一下rAF(requestAnimationFrame)
80. javascript 的垃圾回收机制讲一下
80. javascript 的垃圾回收机制讲一下
81. 两种方式实现字符串反转函数
81. 两种方式实现字符串反转函数
82. 事件委托代理
82. 事件委托代理
83. 什么是跨域 跨域请求资源的方法有哪些
83. 什么是跨域 跨域请求资源的方法有哪些
84. 开发过程中遇到的内存泄露情况，如何解决的
84. 开发过程中遇到的内存泄露情况，如何解决的
JavaScrip面试题

ㅤ普通",
JavaScript有哪些数据类型，它们的区别,"JavaScript共有八种数据类型，分别是 Undefined、Null、Boolean、Number、String、Object、Symbol、BigInt。
其中 Symbol 和 BigInt 是ES6 中新增的数据类型：
这些数据可以分为原始数据类型和引用数据类型：
两种类型的区别在于存储位置的不同：
堆和栈的概念存在于数据结构和操作系统内存中，在数据结构中：
在操作系统中，内存被分为栈区和堆区：
JavaScrip面试题

ㅤ普通",
数据类型检测的方式有哪些,"（1）typeof
其中数组、对象、null都会被判断为object，其他判断都正确。
（2）instanceof
instanceof可以正确判断对象的类型，其内部运行机制是判断在其原型链中能否找到该类型的原型。
可以看到，instanceof只能正确判断引用数据类型，而不能判断基本数据类型。instanceof 运算符可以用来测试一个对象在其原型链中是否存在一个构造函数的 prototype 属性。
（3） constructor
constructor有两个作用，一是判断数据的类型，二是对象实例通过 constrcutor 对象访问它的构造函数。需要注意，如果创建一个对象来改变它的原型，constructor就不能用来判断数据类型了：
（4）Object.prototype.toString.call()
Object.prototype.toString.call() 使用 Object 对象的原型方法 toString 来判断数据类型：
同样是检测对象obj调用toString方法，obj.toString()的结果和Object.prototype.toString.call(obj)的结果不一样，这是为什么？
这是因为toString是Object的原型方法，而Array、function等类型作为Object的实例，都重写了toString方法。不同的对象类型调用toString方法时，根据原型链的知识，调用的是对应的重写之后的toString方法（function类型返回内容为函数体的字符串，Array类型返回元素组成的字符串…），而不会去调用Object上原型toString方法（返回对象的具体类型），所以采用obj.toString()不能得到其对象类型，只能将obj转换为字符串类型；因此，在想要得到对象的具体类型时，应该调用Object原型上的toString方法。
JavaScrip面试题

ㅤ普通",
判断数组的方式有哪些,"JavaScrip面试题

ㅤ普通",
null和undefined区别,"首先 Undefined 和 Null 都是基本数据类型，这两个基本数据类型分别都只有一个值，就是 undefined 和 null。
undefined 代表的含义是未定义，null 代表的含义是空对象。一般变量声明了但还没有定义的时候会返回 undefined，null主要用于赋值给一些可能会返回对象的变量，作为初始化。
undefined 在 JavaScript 中不是一个保留字，这意味着可以使用 undefined 来作为一个变量名，但是这样的做法是非常危险的，它会影响对 undefined 值的判断。我们可以通过一些方法获得安全的 undefined 值，比如说 void 0。
当对这两种类型使用 typeof 进行判断时，Null 类型化会返回 “object”，这是一个历史遗留的问题。当使用双等号对两种类型的值进行比较时会返回 true，使用三个等号时会返回 false。
JavaScrip面试题

ㅤ普通",
