问题,回答,所属分类
Linux 命令使用文档分类汇总,"大家好，我是帅地。
对于 Linux 命令，本人经常忘这忘那，可能大家也会有和我一样的毛病，所以帅地打算把工作中常用到的命令做一期整理，目的就是提高你的工作效果。
本文分类汇总所有已经写好的 Linux 命令，会持续更新，如果错误，麻烦评论区指出，帅地在此谢过。
ls
cp
mv
mkdir
touch
pwd
cat
echo
rm
rmdir
Linux命令",
Linux ls 命令详解,"返回Linux文档目录
返回Linux文档目录
ls 命令为英文单词 list 的缩写，正如英文单词 list 的意思，其功能是列出指定目录下的内容及其相关属性信息，下面是该命令的详细使用方式。
用法
默认情况下 ls 命令会列出当前目录的内容，不过不包括隐藏文件，下面是常用参数
如果常用参数不够用，这篇文章里有详细的参数文档：http://linux.51yip.com/search/ls
http://linux.51yip.com/search/ls
实例展示
1、列出当前目录的所有文件（不包括隐藏文件）
2、列出当前目录的所有文件的详细信息列出当前目录的所有文件（不包括隐藏文件）
3、列出当前目录的所有文件（包括隐藏文件）
4、列出根目录下的所有文件（指定文件参数）
5、列出当前工作目录下所有文件及目录并以文件的大小进行排序 :
更多的命令及其案例，可以自己尝试哦，大家最主要的就是要大致知道 ls 能干嘛，至于具体的参数，忘记了没事，知道它有这个功能就行了，之后需要的时候，快速打开文档查看即可。
Linux命令",
Linux cp 命令详解,"返回Linux文档目录
返回Linux文档目录
cp 命令可以理解为英文单词 copy 的缩写，其功能为复制文件或目录。
cp 命令可以将多个文件复制到一个具体的文件名或一个已经存在的目录下，也可以同时复制多个文件到一个指定的目录中。
用法
常用参数
实例
1、使用指令 cp 将当前目录 test/ 下的所有文件复制到新目录 newtest 下，输入如下命令：
2、复制多个文件到指定的文件夹 dir
注意：用户使用该指令复制目录时，必须使用参数 -r 或者 -R 。
Linux命令",
Linux mv 命令详解,"返回Linux文档目录
返回Linux文档目录
mv 命令是“move”单词的缩写，其功能主要用来移动文件或对其改名
用法
常用参数
注：如果您指定了-i、-f、-n 中的多个，仅最后一个生效。
示例
1、将 test.txt 文件重命名为 newtest.txt
2、将 info 目录放入 logs 目录中。注意，如果 logs 目录不存在，则该命令将 info 改名为 logs。
3、将目录 dir 下的文件移动到当前目录下：
Linux命令",
Linux mkdir 命令详解,"返回 Linux 文档目录
返回 Linux 文档目录
mkdir 命令是“make directories”的缩写，用来创建目录。
用法
常用参数：
示例
1、创建一个 test 的目录
2、如果 test 的父目录 aaa 不存在，也会顺便把父目录一同创建
3、创建 test 目录时指定文件属性有读、写和执行权限，且其他人无权访问
4、同时创建多个目录 di1 dir2 dir2
Linux命令",
Linux touch 命令详解,"返回 Linux 文档目录
返回 Linux 文档目录
touch 命令有两个功能：一是创建新的空文件，二是改变已有文件的时间戳属性。
touch 命令会根据当前的系统时间更新指定文件的访问时间和修改时间。如果文件不存在，将会创建新的空文件，除非指定了”-c”或”-h”选项
用法
常用参数
示例
1、将 test.txt 的档案时间改为，当前系统时间，文件不存在建之。（所以也可以当作创建空白新文件使用）
2、修改文件时间
（1）使用 ls 查看当前 test.txt 的文件属性
（2）将 test.txt 文件的时间改为 5月6日18点3分
（3）再次使用 ls 查看属性
Linux命令",
Linux pwd 命令详解,"返回 Linux 文档目录
返回 Linux 文档目录
pwd 的英文全拼：print work directory，该 命令用于显示工作目录。执行 pwd 指令可立刻得知您目前所在的工作目录的绝对路径名称。
用法
常用参数：
示例
Linux命令",
Linux cat 命令详解,"返回 Linux 文档目录
返回 Linux 文档目录
将文件内容或标准输入组合输出到标准输出，不过 cat 这个命令适合用于查看内容较少的纯文本文件的，如果是较大的文件，推荐使用 more 这种命令。
另外当文件内容较大时，文本内容会在屏幕上快速闪动（滚屏），用户往往看不清所显示的具体内容。因此对于较长文件内容可以按Ctrl+S键，停止滚屏；以及Ctrl+Q键可以恢复滚屏；而按Ctrl+C（中断）键则可以终止该命令的执行。
用法
常用参数：
示例
1、普通输出
2、显示行号
3、空行不现实行号
4、清空文件内容
Linux命令",
Linux echo 命令详解,"返回 Linux 文档目录
返回 Linux 文档目录
将文件内容或标准输入组合输出到标准输出，所谓标准输入，简单说就是从键盘输入的内容，标准输出，简单说，就是打印到屏幕上。
用法
常用参数：
示例
1、输出一段字符串：iamshuaidi
2、将字符串 iamshuaidi 导入到文件 test.txt 中
3、输入变量的值
4、输出信息中删除某个字符，注意看数字 3 消失了
5、输出带有换行字符的内容
Linux命令",
Linux rm 命令详解,"返回 Linux 文档目录
返回 Linux 文档目录
rm 是英文 remove 的缩写，该命令的功能为删除一个目录中的一个或多个文件或目录，它也可以将某个目录及其下的所有文件及子目录均删除。
不过需要注意的是，对于链接文件，它只是删除了链接，原有文件均保持不变。
rm 也是一个危险的命令，使用的时候要特别当心，尤其对于新手，否则整个系统就会毁在这个命令。
rm -rf /* 这个执行了就凉了。
另外就是，通过该命令删除的文件，其实是可以恢复的哦。
用法
常用参数：
几点说明：
默认时，rm 不会删除目录。使用(-r 或-R)选项可删除每个给定
的目录，以及其下所有的内容。
示例
1、删除前逐一询问确认
2、删除当前目录下所有文件：
3、清空系统中所有的文件（需谨慎）：
Linux命令",
