问题,回答,所属分类
Go基础面试题阅读指南（必看）,"大家好，我是帅地。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 与其他语言相比，使用 Go 有什么好处
1. 与其他语言相比，使用 Go 有什么好处
2. Golang 使用什么数据类型
2. Golang 使用什么数据类型
3. Go 程序中的包是什么
3. Go 程序中的包是什么
4. Go 支持什么形式的类型转换
4. Go 支持什么形式的类型转换
5. 什么是 Goroutine
5. 什么是 Goroutine
6. 如何在运行时检查变量类型
6. 如何在运行时检查变量类型
7. Go 两个接口之间可以存在什么关系
7. Go 两个接口之间可以存在什么关系
8. Go 当中同步锁有什么特点 作用是什么
8. Go 当中同步锁有什么特点 作用是什么
9. Go 语言当中 Channel（通道）有什么特点，需要注意什么
9. Go 语言当中 Channel（通道）有什么特点，需要注意什么
10. Go 语言当中 Channel 缓冲有什么特点
10. Go 语言当中 Channel 缓冲有什么特点
11. Go 语言中 cap 函数可以作用于那些内容
11. Go 语言中 cap 函数可以作用于那些内容
12. go convey 是什么？一般用来做什么
12. go convey 是什么？一般用来做什么
13. Go 语言当中 new 和 make 有什么区别吗
13. Go 语言当中 new 和 make 有什么区别吗
14. Go 语言中 make 的作用是什么
14. Go 语言中 make 的作用是什么
15. Printf(),Sprintf(),FprintF() 都是格式化输出，有什么不同
15. Printf(),Sprintf(),FprintF() 都是格式化输出，有什么不同
16. Go 语言当中数组和切片的区别是什么
16. Go 语言当中数组和切片的区别是什么
17. Go 语言当中值传递和地址传递（引用传递）如何运用 有什么区别 举例说明
17. Go 语言当中值传递和地址传递（引用传递）如何运用 有什么区别 举例说明
18. Go 语言当中数组和切片在传递的时候的区别是什么
18. Go 语言当中数组和切片在传递的时候的区别是什么
19. Go 语言是如何实现切片扩容的
19. Go 语言是如何实现切片扩容的
20. 看下面代码的 defer 的执行顺序是什么？ defer 的作用和特 点是什么
20. 看下面代码的 defer 的执行顺序是什么？ defer 的作用和特 点是什么
21. Golang Slice 的底层实现
21. Golang Slice 的底层实现
22. Golang Slice 的扩容机制，有什么注意点
22. Golang Slice 的扩容机制，有什么注意点
23. 扩容前后的 Slice 是否相同
23. 扩容前后的 Slice 是否相同
24. Golang 的参数传递、引用类型
24. Golang 的参数传递、引用类型
25. Golang Map 底层实现
25. Golang Map 底层实现
26. Golang Map 如何扩容
26. Golang Map 如何扩容
27. Golang Map 查找
27. Golang Map 查找
28. 介绍一下 Channel
28. 介绍一下 Channel
29. Go 语言的 Channel 特性
29. Go 语言的 Channel 特性
30. Channel 的 ring buffer 实现
30. Channel 的 ring buffer 实现
Go面试题

ㅤ永久会员",
与其他语言相比，使用 Go 有什么好处,"⚫ 与其他作为学术实验开始的语言不同，Go代码的设计是务实的。每个功能和语法决策都旨在让程序员的生活更轻松。
⚫ Golang 针对并发进行了优化，并且在规模上运行良好。
⚫ 由于单一的标准代码格式，Golang 通常被认为比其他语言更具可读性。
⚫ 自动垃圾收集明显比 Java 或 Python 更有效，因为它与程序同时执行。
Go面试题

ㅤ永久会员",
Golang 使用什么数据类型,"Golang 使用以下类型：
⚫ Method
⚫ Boolean
⚫ Numeric
⚫ String
⚫ Array
⚫ Slice
⚫ Struct
⚫ Pointer
⚫ Function
⚫ Interface
⚫ Map
⚫ Channel
Go面试题

ㅤ永久会员",
Go 程序中的包是什么,"包 (pkg) 是 Go 工作区中包含 Go 源文件或其他包的目录。源文件中的每个函数、变量和类型都存储在链接包中。每个 Go 源文件都属于一个包，该包在文件顶部使用以下命令声明：
您可以使用以下方法导入和导出包以重用导出的函数或类型：
Golang 的标准包是 fmt，其中包含格式化和打印功能，如 Println().
Go面试题

ㅤ永久会员",
Go 支持什么形式的类型转换,"将整数转换为浮点数。 Go 支持显式类型转换以满足其严格的类型要求。
Go面试题

ㅤ永久会员",
什么是 Goroutine,"你如何停止它？ 一个 Goroutine 是一个函数或方法执行同时旁边其他任何够程采用了特殊的Goroutine 线程。Goroutine 线程比标准线程更轻量级，大多数 Golang 程序 同时使用数千个 g、Goroutine。
要创建 Goroutine，请 go 在函数声明之前添加关键字。
您可以通过向 Goroutine 发送一个信号通道来停止它。Goroutines 只能在被告知检查时响应信号，因此您需要在逻辑位置（例如 for 循环顶部）包含检 查。
Go面试题

ㅤ永久会员",
如何在运行时检查变量类型,"类型开关是在运行时检查变量类型的最佳方式。类型开关按类型而不是值来评估变量。每个 Switch 至少包含一个 case，用作条件语句，和一个defaultcase，如果没有一个 case 为真，则执行。
Go面试题

ㅤ永久会员",
Go 两个接口之间可以存在什么关系,"如果两个接口有相同的方法列表，那么他们就是等价的，可以相互赋值。如果接口 A 的方法列表是接口 B 的方法列表的自己，那么接口 B 可以赋值给接口A。接口查询是否成功，要在运行期才能够确定。
Go面试题

ㅤ永久会员",
Go 当中同步锁有什么特点 作用是什么,"当一个 Goroutine（协程）获得了 Mutex 后，其他 Gorouline（协程）就只能乖乖的等待，除非该 gorouline 释放了该 MutexRWMutex 在读锁占用的情况下，会阻止写，但不阻止读 RWMutex 在写锁占用情况下，会阻止任何其他 goroutine（无论读和写）进来，整个锁相当于由该 goroutine 独占 同步锁的作用是保证资源在使用时的独有性，不会因为并发而导致数据错乱， 保证系统的稳定性。
Go面试题

ㅤ永久会员",
Go 语言当中 Channel（通道）有什么特点，需要注意什么,"如果给一个 nil 的 channel 发送数据，会造成永远阻塞如果从一个 nil 的 channel 中接收数据，也会造成永久爱阻塞给一个已经关闭的 channel 发送数据， 会引起 pannic 从一个已经关闭的 channel 接收数据， 如果缓冲区中为 空，则返回一个零值
Go面试题

ㅤ永久会员",
