问题,回答,所属分类
操作系统面试题简介,"大家好，我是帅地。
在面试中，操作系统考察到的频率非常高，特别是一线互联网大厂，但是考来考去就那些问题，如果你把本专题都学了，估计就差不多了。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 简单说下你对并发和并行的理解？
1. 简单说下你对并发和并行的理解？
2. 同步、异步、阻塞、非阻塞的概念
2. 同步、异步、阻塞、非阻塞的概念
3. 进程和线程的基本概念
3. 进程和线程的基本概念
4. 进程与线程的区别？
4. 进程与线程的区别？
5. 为什么有了进程，还要有线程呢？
5. 为什么有了进程，还要有线程呢？
6. 进程的状态转换
6. 进程的状态转换
7. 进程间的通信方式有哪些？
7. 进程间的通信方式有哪些？
8. 进程的调度算法有哪些？
8. 进程的调度算法有哪些？
9. 什么是死锁？
9. 什么是死锁？
10. 产生死锁的原因？
10. 产生死锁的原因？
11. 死锁产生的必要条件？
11. 死锁产生的必要条件？
12. 解决死锁的基本方法？
12. 解决死锁的基本方法？
13. 怎么预防死锁？
13. 怎么预防死锁？
14. 怎么避免死锁？
14. 怎么避免死锁？
15. 怎么解除死锁？
15. 怎么解除死锁？
16. 什么是缓冲区溢出？有什么危害？
16. 什么是缓冲区溢出？有什么危害？
17. 分页与分段的区别？
17. 分页与分段的区别？
18. 物理地址、逻辑地址、虚拟内存的概念
18. 物理地址、逻辑地址、虚拟内存的概念
19. 页面置换算法有哪些？
19. 页面置换算法有哪些？
20. 谈谈你对动态链接库和静态链接库的理解？
20. 谈谈你对动态链接库和静态链接库的理解？
21. 外中断和异常有什么区别？
21. 外中断和异常有什么区别？
22. 一个程序从开始运行到结束的完整过程，你能说出来多少？
22. 一个程序从开始运行到结束的完整过程，你能说出来多少？
23. 什么是用户态和内核态
23. 什么是用户态和内核态
24. 用户态和内核态是如何切换的？
24. 用户态和内核态是如何切换的？
25. 进程终止的方式
25. 进程终止的方式
26. 守护进程、僵尸进程和孤儿进程
26. 守护进程、僵尸进程和孤儿进程
27. 如何避免僵尸进程？
27. 如何避免僵尸进程？
28. 介绍一下几种典型的锁？
28. 介绍一下几种典型的锁？
 操作系统面试题阅读指南（必看）
 操作系统面试题阅读指南（必看）
阅读指南（必看）
阅读指南（必看）
 Java面试题面试题阅读指南（必看）
 Java面试题面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
MySQL面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
 Redis面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
消息队列和Zookeeper面试题阅读指南（必看）
持续更新～持续更新～持续更新～
记得收藏呀
操作系统面试题",
简单说下你对并发和并行的理解？,"并行是指两个或者多个事件在同一时刻发生；而并发是指两个或多个事件在同一时间间隔发生；
并行是在不同实体上的多个事件，并发是在同一实体上的多个事件；
操作系统面试题",
同步、异步、阻塞、非阻塞的概念,"同步：当一个同步调用发出后，调用者要一直等待返回结果。通知后，才能进行后续的执行。
异步：当一个异步过程调用发出后，调用者不能立刻得到返回结果。实际处理这个调用的部件在完成后，通过状态、通知和回调来通知调用者。
阻塞：是指调用结果返回前，当前线程会被挂起，即阻塞。
非阻塞：是指即使调用结果没返回，也不会阻塞当前线程。
操作系统面试题",
进程和线程的基本概念,"进程：进程是系统进行资源分配和调度的一个独立单位，是系统中的并发执行的单位。
线程：线程是进程的一个实体，也是 CPU 调度和分派的基本单位，它是比进程更小的能独立运行的基本单位，有时又被称为轻权进程或轻量级进程。
操作系统面试题",
进程与线程的区别？,"进程是资源分配的最小单位，而线程是 CPU 调度的最小单位；
创建进程或撤销进程，系统都要为之分配或回收资源，操作系统开销远大于创建或撤销线程时的开销；
不同进程地址空间相互独立，同一进程内的线程共享同一地址空间。一个进程的线程在另一个进程内是不可见的；
进程间不会相互影响，而一个线程挂掉将可能导致整个进程挂掉；
操作系统面试题",
为什么有了进程，还要有线程呢？,"进程可以使多个程序并发执行，以提高资源的利用率和系统的吞吐量，但是其带来了一些缺点：
进程在执行的过程中如果阻塞，整个进程就会被挂起，即使进程中有些工作不依赖与等待的资源，仍然不会执行。
基于以上的缺点，操作系统引入了比进程粒度更小的线程，作为并发执行的基本单位，从而减少程序在并发执行时所付出的时间和空间开销，提高并发性能。
操作系统面试题",
进程的状态转换,"进程包括三种状态：就绪态、运行态和阻塞态。

1. 就绪 —> 执行：对就绪状态的进程，当进程调度程序按一种选定的策略从中选中一个就绪进程，为之分配了处理机后，该进程便由就绪状态变为执行状态；
执行 —> 阻塞：正在执行的进程因发生某等待事件而无法执行，则进程由执行状态变为阻塞状态，如进程提出输入/输出请求而变成等待外部设备传输信息的状态，进程申请资源（主存空间或外部设备）得不到满足时变成等待资源状态，进程运行中出现了故障（程序出错或主存储器读写错等）变成等待干预状态等等；
阻塞 —> 就绪：处于阻塞状态的进程，在其等待的事件已经发生，如输入/输出完成，资源得到满足或错误处理完毕时，处于等待状态的进程并不马上转入执行状态，而是先转入就绪状态，然后再由系统进程调度程序在适当的时候将该进程转为执行状态；
执行 —> 就绪：正在执行的进程，因时间片用完而被暂停执行，或在采用抢先式优先级调度算法的系统中,当有更高优先级的进程要运行而被迫让出处理机时，该进程便由执行状态转变为就绪状态。
操作系统面试题",
进程间的通信方式有哪些？,"进程间通信（IPC，InterProcess Communication）是指在不同进程之间传播或交换信息。IPC 的方式通常有管道（包括无名管道和命名管道）、消息队列、信号量、共享存储、Socket、Streams 等。其中 Socket 和 Streams 支持不同主机上的两个进程 IPC。
管道
它只能用于父子进程或者兄弟进程之间的进程的通信；
它可以看成是一种特殊的文件，对于它的读写也可以使用普通的 read、write  等函数。但是它不是普通的文件，并不属于其他任何文件系统，并且只存在于内存中。
命名管道
FIFO 有路径名与之相关联，它以一种特殊设备文件形式存在于文件系统中。
消息队列
消息队列是面向记录的，其中的消息具有特定的格式以及特定的优先级；
消息队列独立于发送与接收进程。进程终止时，消息队列及其内容并不会被删除；
消息队列可以实现消息的随机查询，消息不一定要以先进先出的次序读取，也可以按消息的类型读取。
信号量
信号量用于进程间同步，若要在进程间传递数据需要结合共享内存；
信号量基于操作系统的 PV 操作，程序对信号量的操作都是原子操作；
每次对信号量的 PV 操作不仅限于对信号量值加 1 或减 1，而且可以加减任意正整数；
支持信号量组。
共享内存
共享内存（Shared Memory），指两个或多个进程共享一个给定的存储区；
共享内存是最快的一种 IPC，因为进程是直接对内存进行存取。
操作系统面试题",
进程的调度算法有哪些？,"调度算法是指：根据系统的资源分配策略所规定的资源分配算法。常用的调度算法有：先来先服务调度算法、时间片轮转调度法、短作业优先调度算法、最短剩余时间优先、高响应比优先调度算法、优先级调度算法等等。
先来先服务调度算法是一种最简单的调度算法，也称为先进先出或严格排队方案。当每个进程就绪后，它加入就绪队列。当前正运行的进程停止执行，选择在就绪队列中存在时间最长的进程运行。该算法既可以用于作业调度，也可以用于进程调度。先来先服务比较适合于常作业（进程），而不利于段作业（进程）。
时间片轮转调度算法主要适用于分时系统。在这种算法中，系统将所有就绪进程按到达时间的先后次序排成一个队列，进程调度程序总是选择就绪队列中第一个进程执行，即先来先服务的原则，但仅能运行一个时间片。
短作业优先调度算法是指对短作业优先调度的算法，从后备队列中选择一个或若干个估计运行时间最短的作业，将它们调入内存运行。 短作业优先调度算法是一个非抢占策略，他的原则是下一次选择预计处理时间最短的进程，因此短进程将会越过长作业，跳至队列头。
最短剩余时间是针对最短进程优先增加了抢占机制的版本。在这种情况下，进程调度总是选择预期剩余时间最短的进程。当一个进程加入到就绪队列时，他可能比当前运行的进程具有更短的剩余时间，因此只要新进程就绪，调度程序就能可能抢占当前正在运行的进程。像最短进程优先一样，调度程序正在执行选择函数是必须有关于处理时间的估计，并且存在长进程饥饿的危险。
高响应比优先调度算法主要用于作业调度，该算法是对 先来先服务调度算法和短作业优先调度算法的一种综合平衡，同时考虑每个作业的等待时间和估计的运行时间。在每次进行作业调度时，先计算后备作业队列中每个作业的响应比，从中选出响应比最高的作业投入运行。
优先级调度算法每次从后备作业队列中选择优先级最髙的一个或几个作业，将它们调入内存，分配必要的资源，创建进程并放入就绪队列。在进程调度中，优先级调度算法每次从就绪队列中选择优先级最高的进程，将处理机分配给它，使之投入运行。
操作系统面试题",
什么是死锁？,"死锁，是指多个进程在运行过程中因争夺资源而造成的一种僵局，当进程处于这种僵持状态时，若无外力作用，它们都将无法再向前推进。 如下图所示：如果此时有一个线程 A，已经持有了锁 A，但是试图获取锁 B，线程 B 持有锁 B，而试图获取锁 A，这种情况下就会产生死锁。

操作系统面试题",
产生死锁的原因？,"由于系统中存在一些不可剥夺资源，而当两个或两个以上进程占有自身资源，并请求对方资源时，会导致每个进程都无法向前推进，这就是死锁。
例如：系统中只有一台打印机，可供进程 A 使用，假定 A 已占用了打印机，若 B 继续要求打印机打印将被阻塞。
系统中的资源可以分为两类：
不可剥夺资源，当系统把这类资源分配给某进程后，再不能强行收回，只能在进程用完后自行释放，如磁带机、打印机等。
例如：进程 A 和 进程 B 互相等待对方的数据。
操作系统面试题",
死锁产生的必要条件？,"互斥条件：进程要求对所分配的资源进行排它性控制，即在一段时间内某资源仅为一进程所占用。
请求和保持条件：当进程因请求资源而阻塞时，对已获得的资源保持不放。
不剥夺条件：进程已获得的资源在未使用完之前，不能剥夺，只能在使用完时由自己释放。
环路等待条件：在发生死锁时，必然存在一个进程–资源的环形链。
操作系统面试题",
解决死锁的基本方法？,"预防死锁
避免死锁
检测死锁
解除死锁
操作系统面试题",
怎么预防死锁？,"破坏请求条件：一次性分配所有资源，这样就不会再有请求了；
破坏请保持条件：只要有一个资源得不到分配，也不给这个进程分配其他的资源：
破坏不可剥夺条件：当某进程获得了部分资源，但得不到其它资源，则释放已占有的资源；
破坏环路等待条件：系统给每类资源赋予一个编号，每一个进程按编号递增的顺序请求资源，释放则相反。
操作系统面试题",
